dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Breast cancer (Low),1,5,27,3,13,False,False,0.798941798941799,0.7167277167277168,0.754985754985755,0.7761497761497762,0.08221408221408211,-0.021164021164021163
Breast cancer (Low),1,6,59,1,20,False,True,0.8021112102289623,0.7271781147784717,0.8191793041926851,0.791079393398751,0.07493309545049054,0.028099910793934146
Breast cancer (Low),2,0,40,2,19,False,False,0.7307416267942584,0.6594497607655502,0.7261961722488038,0.7181818181818181,0.07129186602870818,0.008014354066985696
Breast cancer (Low),2,1,28,3,13,False,False,0.8447802197802198,0.7654532967032966,0.8715659340659341,0.7633928571428573,0.07932692307692313,0.10817307692307676
Breast cancer (Low),2,2,30,4,14,False,False,0.7168067226890756,0.6434173669467788,0.758543417366947,0.7067226890756303,0.07338935574229688,0.051820728291316676
Breast cancer (Low),2,3,42,4,20,False,True,0.7955486542443063,0.6824016563146997,0.7917184265010352,0.7231884057971014,0.11314699792960659,0.06853002070393377
Breast cancer (Low),2,4,98,4,20,False,True,0.8584278155706727,0.8241572184429327,0.878745275888133,0.84562358276644,0.034270597127740055,0.033121693121693
Breast cancer (Low),2,5,60,1,20,False,True,0.8009604519774011,0.7347175141242938,0.830367231638418,0.785,0.06624293785310731,0.04536723163841794
Breast cancer (Low),2,6,27,2,13,False,False,0.7423687423687424,0.6825396825396824,0.796092796092796,0.7146927146927148,0.05982905982905995,0.08140008140008126
Breast cancer (Low),2,7,61,2,20,False,True,0.8359580757860791,0.8059661381349101,0.8590163934426229,0.8190540177371674,0.02999193765116892,0.03996237570545558
Breast cancer (Low),3,0,28,3,13,False,False,0.9203296703296704,0.8585164835164836,0.8780906593406594,0.8066620879120879,0.061813186813186816,0.07142857142857151
Breast cancer (Low),3,1,25,3,12,False,False,0.8282051282051284,0.6717948717948719,0.7933333333333333,0.6851282051282052,0.15641025641025652,0.10820512820512818
Breast cancer (Low),3,2,67,3,20,False,True,0.869903905131875,0.8341647924759762,0.8863218155796361,0.8794316090778982,0.0357391126558988,0.006890206501737883
Breast cancer (Low),3,3,42,2,20,False,True,0.7158385093167702,0.6129399585921325,0.7315734989648034,0.6789855072463769,0.10289855072463772,0.05258799171842654
Breast cancer (Low),3,4,30,2,14,False,False,0.7372549019607845,0.6915966386554625,0.6997198879551821,0.7277310924369751,0.04565826330532197,-0.02801120448179295
Breast cancer (Low),3,5,25,2,12,False,False,0.6676923076923077,0.7502564102564103,0.6405128205128205,0.7810256410256409,-0.08256410256410263,-0.14051282051282032
Breast cancer (Low),3,6,57,1,20,False,True,0.7757696127110227,0.7121151936444885,0.8004634227077126,0.7722277391592188,0.06365441906653424,0.028235683548493817
Breast cancer (Low),4,0,95,3,20,False,True,0.8597144022847817,0.8086005711954305,0.8762790697674421,0.8438106895144838,0.05111383108935119,0.032468380252958284
Breast cancer (Low),4,1,29,3,14,False,False,0.748768472906404,0.6453201970443352,0.7737274220032841,0.6706075533661743,0.10344827586206884,0.10311986863710987
Breast cancer (Low),4,2,51,2,20,False,True,0.8121951219512197,0.7274509803921569,0.8534194165471067,0.7853658536585366,0.08474414155906274,0.06805356288857012
Breast cancer (Low),4,3,43,2,20,False,True,0.6735813953488372,0.684093023255814,0.7015813953488372,0.7315348837209301,-0.010511627906976795,-0.029953488372092885
Breast cancer (Low),4,4,65,2,20,False,True,0.8127536231884058,0.8029877369007803,0.8414492753623187,0.838149386845039,0.009765886287625536,0.003299888517279692
Breast cancer (Low),4,5,58,1,20,False,True,0.8009404388714734,0.7287147335423197,0.8114733542319749,0.7709717868338558,0.07222570532915362,0.040501567398119054
