dataset,build,leaf_id,leaf_n,leaf_depth,method,t,length,f1,precision,recall,coverage,clauses_json
Breast cancer (Low),0,5,27,3,db,0.95,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.04745166959578207,"[{""feature"": ""mean radius"", ""sel_min"": -1.43322942038229, ""sel_max"": -0.26176140145754273, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean texture"", ""sel_min"": -1.6965300479217182, ""sel_max"": 0.8782582629461975, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean perimeter"", ""sel_min"": -1.381699050146748, ""sel_max"": -0.27868476887003074, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean area"", ""sel_min"": -1.1424125486317884, ""sel_max"": -0.3498424332682645, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean smoothness"", ""sel_min"": -1.2002215417843123, ""sel_max"": 2.0940578847546245, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean compactness"", ""sel_min"": -0.9308403300849797, ""sel_max"": 0.2673598843982558, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean concavity"", ""sel_min"": -0.9712000487331197, ""sel_max"": -0.18415747585648481, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean concave points"", ""sel_min"": -0.9817243523910251, ""sel_max"": 0.1885184725118228, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean symmetry"", ""sel_min"": -0.1268463628410531, ""sel_max"": 2.656832609752709, ""in_predicate"": true, ""step"": 1}, {""feature"": ""mean fractal dimension"", ""sel_min"": -0.37471400657505904, ""sel_max"": 0.9663324327833809, ""in_predicate"": true, ""step"": 2}, {""feature"": ""radius error"", ""sel_min"": -0.8382559012496614, ""sel_max"": 0.42620376020223993, ""in_predicate"": false, ""step"": null}, {""feature"": ""texture error"", ""sel_min"": -0.8728386773222074, ""sel_max"": 1.9193485797269425, ""in_predicate"": false, ""step"": null}, {""feature"": ""perimeter error"", ""sel_min"": -0.7694826238914529, ""sel_max"": 0.5497529147556882, ""in_predicate"": true, ""step"": 7}, {""feature"": ""area error"", ""sel_min"": -0.6378477997717423, ""sel_max"": -0.10165416033981914, ""in_predicate"": false, ""step"": null}, {""feature"": ""smoothness error"", ""sel_min"": -0.9736774244721256, ""sel_max"": 1.4836932662785338, ""in_predicate"": false, ""step"": null}, {""feature"": ""compactness error"", ""sel_min"": -0.8304528487466355, ""sel_max"": 0.6042548660530441, ""in_predicate"": true, ""step"": 4}, {""feature"": ""concavity error"", ""sel_min"": -0.8016175271634369, ""sel_max"": 0.3947472031229376, ""in_predicate"": false, ""step"": null}, {""feature"": ""concave points error"", ""sel_min"": -0.7728285993108569, ""sel_max"": 0.5575011408317497, ""in_predicate"": true, ""step"": 3}, {""feature"": ""symmetry error"", ""sel_min"": -0.48478219018994956, ""sel_max"": 2.57873851312674, ""in_predicate"": false, ""step"": null}, {""feature"": ""fractal dimension error"", ""sel_min"": -0.9011876858947042, ""sel_max"": 0.8417093517900646, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst radius"", ""sel_min"": -1.2978261559792221, ""sel_max"": -0.41131155847133116, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst texture"", ""sel_min"": -1.712186156547025, ""sel_max"": 0.6901881111209152, ""in_predicate"": true, ""step"": 6}, {""feature"": ""worst perimeter"", ""sel_min"": -1.2434644716977055, ""sel_max"": -0.44196018135520154, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst area"", ""sel_min"": -1.00711624020184, ""sel_max"": -0.4586663523810739, ""in_predicate"": true, ""step"": 0}, {""feature"": ""worst smoothness"", ""sel_min"": -1.519234921811067, ""sel_max"": 1.204364815071912, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst compactness"", ""sel_min"": -1.0451665145126967, ""sel_max"": 0.0019354790299748563, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concavity"", ""sel_min"": -1.1722522980909116, ""sel_max"": -0.05242497525805508, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concave points"", ""sel_min"": -1.3731356983132668, ""sel_max"": 0.040601845860818345, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst symmetry"", ""sel_min"": -0.5308335274391441, ""sel_max"": 0.9815648837410926, ""in_predicate"": true, ""step"": 5}, {""feature"": ""worst fractal dimension"", ""sel_min"": -0.9797382457042721, ""sel_max"": 0.45949075446416876, ""in_predicate"": false, ""step"": null}]"
Breast cancer (Low),0,5,27,3,db,0.9,6,0.6222222222222222,0.7777777777777778,0.5185185185185185,0.03163444639718805,
Breast cancer (Low),0,5,27,3,db,0.8,4,0.5238095238095238,0.7333333333333333,0.4074074074074074,0.026362038664323375,
Breast cancer (Low),0,6,28,2,threshold,1.0,30,0.9032258064516129,0.8235294117647058,1.0,0.05975395430579965,
Breast cancer (Low),0,6,28,2,threshold,0.95,30,0.2777777777777778,0.625,0.17857142857142858,0.014059753954305799,
Breast cancer (Low),0,6,28,2,threshold,0.9,30,0.06666666666666667,0.5,0.03571428571428571,0.0035149384885764497,
Breast cancer (Low),0,6,28,2,threshold,0.8,30,0.0689655172413793,1.0,0.03571428571428571,0.0017574692442882249,
Breast cancer (Low),0,6,28,2,db,1.0,9,0.9032258064516129,0.8235294117647058,1.0,0.05975395430579965,"[{""feature"": ""mean radius"", ""sel_min"": 0.5631172927010872, ""sel_max"": 2.596658937161354, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean texture"", ""sel_min"": -0.9865946666408664, ""sel_max"": 4.651888980771197, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean perimeter"", ""sel_min"": 0.540867143914793, ""sel_max"": 2.4768065551341056, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean area"", ""sel_min"": 0.4496836134385174, ""sel_max"": 2.932585195147524, ""in_predicate"": true, ""step"": 4}, {""feature"": ""mean smoothness"", ""sel_min"": -1.6119172715781158, ""sel_max"": 0.5223343325534098, ""in_predicate"": true, ""step"": 1}, {""feature"": ""mean compactness"", ""sel_min"": -0.7034975674466523, ""sel_max"": 0.8937331172913158, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean concavity"", ""sel_min"": -0.2423023523732048, ""sel_max"": 1.3107475729416067, ""in_predicate"": true, ""step"": 5}, {""feature"": ""mean concave points"", ""sel_min"": 0.12847606341017972, ""sel_max"": 1.9753251981130047, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean symmetry"", ""sel_min"": -1.400569901582627, ""sel_max"": 1.1587414205068136, ""in_predicate"": true, ""step"": 7}, {""feature"": ""mean fractal dimension"", ""sel_min"": -1.7787542623871253, ""sel_max"": -0.0450245000481256, ""in_predicate"": false, ""step"": null}, {""feature"": ""radius error"", ""sel_min"": -0.23016674437750914, ""sel_max"": 1.3845938185960969, ""in_predicate"": true, ""step"": 3}, {""feature"": ""texture error"", ""sel_min"": -1.0571336896179062, ""sel_max"": 0.3159617718347627, ""in_predicate"": true, ""step"": 2}, {""feature"": ""perimeter error"", ""sel_min"": -0.22724836933585896, ""sel_max"": 1.4845674823772788, ""in_predicate"": false, ""step"": null}, {""feature"": ""area error"", ""sel_min"": -0.028097923239628935, ""sel_max"": 1.5855074617343234, ""in_predicate"": false, ""step"": null}, {""feature"": ""smoothness error"", ""sel_min"": -1.0563691331983063, ""sel_max"": 1.6197393677346756, ""in_predicate"": false, ""step"": null}, {""feature"": ""compactness error"", ""sel_min"": -0.9532597442646604, ""sel_max"": 1.5359485629705112, ""in_predicate"": false, ""step"": null}, {""feature"": ""concavity error"", ""sel_min"": -0.4888577410470901, ""sel_max"": 0.9683934171445826, ""in_predicate"": false, ""step"": null}, {""feature"": ""concave points error"", ""sel_min"": -0.5857613385132496, ""sel_max"": 0.7970760605113859, ""in_predicate"": false, ""step"": null}, {""feature"": ""symmetry error"", ""sel_min"": -1.2413329931001702, ""sel_max"": 3.5836453737899463, ""in_predicate"": false, ""step"": null}, {""feature"": ""fractal dimension error"", ""sel_min"": -0.8343860980129154, ""sel_max"": 0.4694462781921968, ""in_predicate"": true, ""step"": 8}, {""feature"": ""worst radius"", ""sel_min"": 0.7228858065814685, ""sel_max"": 2.671532413877801, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst texture"", ""sel_min"": -1.0026655704818586, ""sel_max"": 3.213360190238159, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst perimeter"", ""sel_min"": 0.6475080073776276, ""sel_max"": 2.4048724742562437, ""in_predicate"": true, ""step"": 0}, {""feature"": ""worst area"", ""sel_min"": 0.5790861060290915, ""sel_max"": 3.048953465160939, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst smoothness"", ""sel_min"": -1.9352929707940554, ""sel_max"": 1.044670922988364, ""in_predicate"": true, ""step"": 6}, {""feature"": ""worst compactness"", ""sel_min"": -0.8528409904724138, ""sel_max"": 1.9455376225675747, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concavity"", ""sel_min"": -0.3789491070366396, ""sel_max"": 1.76410465260688, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concave points"", ""sel_min"": -0.3471089125501227, ""sel_max"": 1.8910486371131643, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst symmetry"", ""sel_min"": -1.072193340600776, ""sel_max"": 3.2052185959268753, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst fractal dimension"", ""sel_min"": -1.3641056339789872, ""sel_max"": 0.49509504195324083, ""in_predicate"": false, ""step"": null}]"
Breast cancer (Low),0,6,28,2,db,0.95,7,0.7169811320754718,0.76,0.6785714285714286,0.043936731107205626,"[{""feature"": ""mean radius"", ""sel_min"": 0.6843869911121152, ""sel_max"": 2.2120616687748833, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean texture"", ""sel_min"": -0.9824878445541422, ""sel_max"": 3.071848986272232, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean perimeter"", ""sel_min"": 0.6526722459457139, ""sel_max"": 2.1637522694475275, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean area"", ""sel_min"": 0.5679972559434102, ""sel_max"": 2.305011962963407, ""in_predicate"": true, ""step"": 0}, {""feature"": ""mean smoothness"", ""sel_min"": -1.2122141879515644, ""sel_max"": 0.5223343325534098, ""in_predicate"": true, ""step"": 4}, {""feature"": ""mean compactness"", ""sel_min"": -0.626325884051568, ""sel_max"": 0.8037623854276087, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean concavity"", ""sel_min"": -0.21671226372085214, ""sel_max"": 1.0887156493767502, ""in_predicate"": true, ""step"": 1}, {""feature"": ""mean concave points"", ""sel_min"": 0.1574498097174812, ""sel_max"": 1.767755690600545, ""in_predicate"": true, ""step"": 5}, {""feature"": ""mean symmetry"", ""sel_min"": -1.3520555823906368, ""sel_max"": 0.9009264848355246, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean fractal dimension"", ""sel_min"": -1.7633385137338125, ""sel_max"": -0.11116911716994005, ""in_predicate"": false, ""step"": null}, {""feature"": ""radius error"", ""sel_min"": -0.09719047537961018, ""sel_max"": 1.319743187684835, ""in_predicate"": true, ""step"": 3}, {""feature"": ""texture error"", ""sel_min"": -1.026758595220657, ""sel_max"": 0.29763037757462457, ""in_predicate"": true, ""step"": 2}, {""feature"": ""perimeter error"", ""sel_min"": -0.16791963779135677, ""sel_max"": 1.3562050107331547, ""in_predicate"": false, ""step"": null}, {""feature"": ""area error"", ""sel_min"": 0.034176505164096115, ""sel_max"": 1.5430893340336043, ""in_predicate"": false, ""step"": null}, {""feature"": ""smoothness error"", ""sel_min"": -1.0461956265502461, ""sel_max"": 0.2468780632903404, ""in_predicate"": false, ""step"": null}, {""feature"": ""compactness error"", ""sel_min"": -0.8687899568226243, ""sel_max"": 0.6540984240290173, ""in_predicate"": false, ""step"": null}, {""feature"": ""concavity error"", ""sel_min"": -0.4601080220215922, ""sel_max"": 0.5796293488125978, ""in_predicate"": false, ""step"": null}, {""feature"": ""concave points error"", ""sel_min"": -0.37606496934613015, ""sel_max"": 0.7519488558603254, ""in_predicate"": false, ""step"": null}, {""feature"": ""symmetry error"", ""sel_min"": -1.2367275131973574, ""sel_max"": 0.2641214498679576, ""in_predicate"": false, ""step"": null}, {""feature"": ""fractal dimension error"", ""sel_min"": -0.8185698341756216, ""sel_max"": 0.22490271167125664, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst radius"", ""sel_min"": 0.7276392419140844, ""sel_max"": 2.485090796544273, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst texture"", ""sel_min"": -0.8512729242525657, ""sel_max"": 3.129885009787757, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst perimeter"", ""sel_min"": 0.6493958742043705, ""sel_max"": 2.379273817934053, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst area"", ""sel_min"": 0.5917636282369417, ""sel_max"": 2.824365977941915, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst smoothness"", ""sel_min"": -1.4087192976646197, ""sel_max"": 0.9724519690707317, ""in_predicate"": true, ""step"": 6}, {""feature"": ""worst compactness"", ""sel_min"": -0.7628007424780386, ""sel_max"": 1.1307524047318462, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concavity"", ""sel_min"": -0.29187504577408196, ""sel_max"": 1.5239028954815024, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concave points"", ""sel_min"": -0.15196168927250403, ""sel_max"": 1.8507856870361716, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst symmetry"", ""sel_min"": -1.058241818433334, ""sel_max"": 1.6701246238984886, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst fractal dimension"", ""sel_min"": -1.3056740646037888, ""sel_max"": 0.46974937903220637, ""in_predicate"": false, ""step"": null}]"
Breast cancer (Low),0,6,28,2,db,0.9,5,0.6792452830188679,0.72,0.6428571428571429,0.043936731107205626,
Breast cancer (Low),0,6,28,2,db,0.8,3,0.5714285714285715,0.6666666666666666,0.5,0.03690685413005272,
Breast cancer (Low),0,7,37,2,threshold,1.0,30,0.7956989247311829,0.6607142857142857,1.0,0.0984182776801406,
Breast cancer (Low),0,7,37,2,threshold,0.95,30,0.5666666666666667,0.7391304347826086,0.4594594594594595,0.040421792618629174,
Breast cancer (Low),0,7,37,2,threshold,0.9,30,0.4528301886792453,0.75,0.32432432432432434,0.028119507908611598,
Breast cancer (Low),0,7,37,2,threshold,0.8,30,0.23255813953488372,0.8333333333333334,0.13513513513513514,0.01054481546572935,
Breast cancer (Low),0,7,37,2,db,1.0,12,0.7956989247311829,0.6607142857142857,1.0,0.0984182776801406,"[{""feature"": ""mean radius"", ""sel_min"": 0.43531090443193665, ""sel_max"": 3.9712876465451097, ""in_predicate"": true, ""step"": 7}, {""feature"": ""mean texture"", ""sel_min"": -2.073335014697587, ""sel_max"": 2.3364571899437085, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean perimeter"", ""sel_min"": 0.7426991250844662, ""sel_max"": 3.9761298438231054, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean area"", ""sel_min"": 0.3373415601996792, ""sel_max"": 5.250528825265325, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean smoothness"", ""sel_min"": -0.39498821420402136, ""sel_max"": 3.4401174525731673, ""in_predicate"": true, ""step"": 3}, {""feature"": ""mean compactness"", ""sel_min"": -0.35479034628886147, ""sel_max"": 4.5684249750356445, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean concavity"", ""sel_min"": 0.3515477807504053, ""sel_max"": 4.243588822363918, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean concave points"", ""sel_min"": 0.9216410200039209, ""sel_max"": 3.9279296603616616, ""in_predicate"": true, ""step"": 1}, {""feature"": ""mean symmetry"", ""sel_min"": -1.1194472599265834, ""sel_max"": 4.4847508562036476, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean fractal dimension"", ""sel_min"": -1.737643744719234, ""sel_max"": 2.639917584882428, ""in_predicate"": true, ""step"": 8}, {""feature"": ""radius error"", ""sel_min"": 0.10079781446173919, ""sel_max"": 8.906909342399384, ""in_predicate"": false, ""step"": null}, {""feature"": ""texture error"", ""sel_min"": -1.208994273819265, ""sel_max"": 4.265788436187908, ""in_predicate"": false, ""step"": null}, {""feature"": ""perimeter error"", ""sel_min"": -0.05002741071431374, ""sel_max"": 9.461985773400187, ""in_predicate"": false, ""step"": null}, {""feature"": ""area error"", ""sel_min"": 0.26738503722124074, ""sel_max"": 11.041842264867741, ""in_predicate"": true, ""step"": 2}, {""feature"": ""smoothness error"", ""sel_min"": -1.3007123732560886, ""sel_max"": 5.4298938477625756, ""in_predicate"": false, ""step"": null}, {""feature"": ""compactness error"", ""sel_min"": -0.8024697668763516, ""sel_max"": 4.198526221524634, ""in_predicate"": false, ""step"": null}, {""feature"": ""concavity error"", ""sel_min"": -0.36252948364753895, ""sel_max"": 3.179966847210215, ""in_predicate"": false, ""step"": null}, {""feature"": ""concave points error"", ""sel_min"": -0.2216006392979643, ""sel_max"": 4.720927870764281, ""in_predicate"": true, ""step"": 4}, {""feature"": ""symmetry error"", ""sel_min"": -1.1977447318183525, ""sel_max"": 7.071917061370984, ""in_predicate"": true, ""step"": 5}, {""feature"": ""fractal dimension error"", ""sel_min"": -0.7534403108043588, ""sel_max"": 3.4213197519098344, ""in_predicate"": true, ""step"": 9}, {""feature"": ""worst radius"", ""sel_min"": 0.7415232342814334, ""sel_max"": 4.094189394975123, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst texture"", ""sel_min"": -1.3592934737640852, ""sel_max"": 2.2379258794342625, ""in_predicate"": true, ""step"": 10}, {""feature"": ""worst perimeter"", ""sel_min"": 1.085359832176198, ""sel_max"": 4.287337462505881, ""in_predicate"": true, ""step"": 0}, {""feature"": ""worst area"", ""sel_min"": 0.6072127094071055, ""sel_max"": 5.93017239869624, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst smoothness"", ""sel_min"": -1.2567133727394535, ""sel_max"": 2.109883082725239, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst compactness"", ""sel_min"": -0.6530931194802436, ""sel_max"": 3.9048479494971406, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concavity"", ""sel_min"": 0.06674082864924129, ""sel_max"": 3.303629952516451, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concave points"", ""sel_min"": 0.6835794644599317, ""sel_max"": 2.685877020625128, ""in_predicate"": true, ""step"": 11}, {""feature"": ""worst symmetry"", ""sel_min"": -2.0266839013236635, ""sel_max"": 4.298838289229709, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst fractal dimension"", ""sel_min"": -1.5902021692339348, ""sel_max"": 2.21963528144686, ""in_predicate"": true, ""step"": 6}]"
Breast cancer (Low),0,7,37,2,db,0.95,7,0.75,0.7714285714285715,0.7297297297297297,0.061511423550087874,"[{""feature"": ""mean radius"", ""sel_min"": 0.6491386911862421, ""sel_max"": 3.7730731124921295, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean texture"", ""sel_min"": -0.7253000264466117, ""sel_max"": 1.9473018157860267, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean perimeter"", ""sel_min"": 0.748536065052051, ""sel_max"": 3.892141713746561, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean area"", ""sel_min"": 0.5601521480369821, ""sel_max"": 5.101482537077916, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean smoothness"", ""sel_min"": -0.28275728814408996, ""sel_max"": 2.5232876099610713, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean compactness"", ""sel_min"": 0.08171443777052476, ""sel_max"": 3.905659101301691, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean concavity"", ""sel_min"": 0.6823285823858075, ""sel_max"": 4.198868015298665, ""in_predicate"": true, ""step"": 4}, {""feature"": ""mean concave points"", ""sel_min"": 1.0739997994049864, ""sel_max"": 3.682231521665202, ""in_predicate"": true, ""step"": 0}, {""feature"": ""mean symmetry"", ""sel_min"": -0.7741569690452607, ""sel_max"": 3.86848397861595, ""in_predicate"": false, ""step"": null}, {""feature"": ""mean fractal dimension"", ""sel_min"": -1.3123267201088118, ""sel_max"": 2.552269715153675, ""in_predicate"": false, ""step"": null}, {""feature"": ""radius error"", ""sel_min"": 0.19155553416639648, ""sel_max"": 6.247793040051404, ""in_predicate"": false, ""step"": null}, {""feature"": ""texture error"", ""sel_min"": -1.1280661422178977, ""sel_max"": 2.847043901897808, ""in_predicate"": false, ""step"": null}, {""feature"": ""perimeter error"", ""sel_min"": 0.00047851049240300175, ""sel_max"": 6.387120409096099, ""in_predicate"": true, ""step"": 5}, {""feature"": ""area error"", ""sel_min"": 0.33419345789975724, ""sel_max"": 7.329787999638212, ""in_predicate"": false, ""step"": null}, {""feature"": ""smoothness error"", ""sel_min"": -1.2194310826170962, ""sel_max"": 1.9513463938064222, ""in_predicate"": false, ""step"": null}, {""feature"": ""compactness error"", ""sel_min"": -0.5698559797261377, ""sel_max"": 3.891533476033456, ""in_predicate"": false, ""step"": null}, {""feature"": ""concavity error"", ""sel_min"": -0.2667235941309224, ""sel_max"": 2.5004033586844634, ""in_predicate"": false, ""step"": null}, {""feature"": ""concave points error"", ""sel_min"": -0.16549440814496266, ""sel_max"": 2.7398004829836964, ""in_predicate"": false, ""step"": null}, {""feature"": ""symmetry error"", ""sel_min"": -1.1803892008438424, ""sel_max"": 3.6319473648077483, ""in_predicate"": false, ""step"": null}, {""feature"": ""fractal dimension error"", ""sel_min"": -0.6028637875432773, ""sel_max"": 2.0041273505306743, ""in_predicate"": true, ""step"": 6}, {""feature"": ""worst radius"", ""sel_min"": 0.8846365765704785, ""sel_max"": 3.491211881826252, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst texture"", ""sel_min"": -1.1765592973247292, ""sel_max"": 1.770379459828416, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst perimeter"", ""sel_min"": 1.1235582996784164, ""sel_max"": 3.5736521492686295, ""in_predicate"": true, ""step"": 1}, {""feature"": ""worst area"", ""sel_min"": 0.6940559195463816, ""sel_max"": 4.126534450519969, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst smoothness"", ""sel_min"": -0.7880426253367042, ""sel_max"": 2.0326120501887703, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst compactness"", ""sel_min"": -0.6063769364393753, ""sel_max"": 3.076907180895838, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concavity"", ""sel_min"": 0.18911031626092673, ""sel_max"": 3.1618867039322156, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst concave points"", ""sel_min"": 0.899219347171667, ""sel_max"": 2.6421411381035202, ""in_predicate"": true, ""step"": 2}, {""feature"": ""worst symmetry"", ""sel_min"": -1.5510812268515384, ""sel_max"": 4.000256396542529, ""in_predicate"": false, ""step"": null}, {""feature"": ""worst fractal dimension"", ""sel_min"": -1.1017892559454157, ""sel_max"": 1.9679775051698174, ""in_predicate"": true, ""step"": 3}]"
Breast cancer (Low),0,7,37,2,db,0.9,3,0.7000000000000001,0.6511627906976745,0.7567567567567568,0.07557117750439367,
Breast cancer (Low),0,7,37,2,db,0.8,2,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.06502636203866433,
Breast cancer (Low),0,8,57,1,threshold,1.0,30,0.9827586206896551,0.9661016949152542,1.0,0.10369068541300527,
Breast cancer (Low),0,8,57,1,threshold,0.95,30,0.5569620253164557,1.0,0.38596491228070173,0.03866432337434095,
Breast cancer (Low),0,8,57,1,threshold,0.9,30,0.29850746268656714,1.0,0.17543859649122806,0.01757469244288225,
Breast cancer (Low),0,8,57,1,threshold,0.8,30,0.13114754098360656,1.0,0.07017543859649122,0.007029876977152899,
