dataset,build,leaf_id,leaf_n,leaf_depth,method,t,length,f1,precision,recall,coverage,clauses_json
Wine quality (Low),0,1,25,4,db,0.95,5,0.72,0.72,0.72,0.025,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.846232299837949, ""sel_max"": 0.5039403843324057, ""in_predicate"": false, ""step"": null}, {""feature"": ""volatile acidity"", ""sel_min"": 0.6862326370010599, ""sel_max"": 1.8692913779263316, ""in_predicate"": true, ""step"": 2}, {""feature"": ""citric acid"", ""sel_min"": -2.074810577494252, ""sel_max"": -0.7870688614881722, ""in_predicate"": true, ""step"": 0}, {""feature"": ""residual sugar"", ""sel_min"": -0.8165476773650505, ""sel_max"": -0.6489699221436668, ""in_predicate"": false, ""step"": null}, {""feature"": ""chlorides"", ""sel_min"": 0.20303825107366938, ""sel_max"": 1.042486875144587, ""in_predicate"": true, ""step"": 3}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.3486812480289099, ""sel_max"": 0.11032371503259766, ""in_predicate"": true, ""step"": 4}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.7793125781798773, ""sel_max"": -1.0081200328575133, ""in_predicate"": true, ""step"": 1}, {""feature"": ""density"", ""sel_min"": -0.161876405330182, ""sel_max"": 1.0241181854813348, ""in_predicate"": false, ""step"": null}, {""feature"": ""pH"", ""sel_min"": 0.48644484932416365, ""sel_max"": 2.1835191962077993, ""in_predicate"": false, ""step"": null}, {""feature"": ""sulphates"", ""sel_min"": -0.19810793787311562, ""sel_max"": 1.7667470911692913, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -0.8867083136306839, ""sel_max"": 0.9023348324685267, ""in_predicate"": false, ""step"": null}]"
Wine quality (Low),0,1,25,4,db,0.9,4,0.7391304347826089,0.8095238095238095,0.68,0.021,
Wine quality (Low),0,1,25,4,db,0.8,4,0.6842105263157895,1.0,0.52,0.013,
Wine quality (Low),0,2,25,4,threshold,1.0,11,0.8928571428571428,0.8064516129032258,1.0,0.031,
Wine quality (Low),0,2,25,4,threshold,0.95,11,0.6153846153846153,0.8571428571428571,0.48,0.014,
Wine quality (Low),0,2,25,4,threshold,0.9,11,0.43750000000000006,1.0,0.28,0.007,
Wine quality (Low),0,2,25,4,threshold,0.8,11,0.21428571428571425,1.0,0.12,0.003,
Wine quality (Low),0,2,25,4,db,1.0,8,0.8928571428571428,0.8064516129032258,1.0,0.031,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.8643419185526036, ""sel_max"": 0.8963154564832541, ""in_predicate"": true, ""step"": 3}, {""feature"": ""volatile acidity"", ""sel_min"": -0.1219956117498681, ""sel_max"": 1.752156849121849, ""in_predicate"": true, ""step"": 4}, {""feature"": ""citric acid"", ""sel_min"": -1.10197513265123, ""sel_max"": 0.9974000084358309, ""in_predicate"": true, ""step"": 1}, {""feature"": ""residual sugar"", ""sel_min"": -0.8280059854143759, ""sel_max"": -0.5916783818970397, ""in_predicate"": false, ""step"": null}, {""feature"": ""chlorides"", ""sel_min"": 0.06222751413274088, ""sel_max"": 1.0370710775699372, ""in_predicate"": true, ""step"": 2}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.5387770018747466, ""sel_max"": 0.08946932853474202, ""in_predicate"": true, ""step"": 7}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.7850433083468162, ""sel_max"": -0.7385028230986679, ""in_predicate"": true, ""step"": 0}, {""feature"": ""density"", ""sel_min"": -0.28691620874173324, ""sel_max"": 1.1003805750483666, ""in_predicate"": true, ""step"": 6}, {""feature"": ""pH"", ""sel_min"": 0.11371593246900048, ""sel_max"": 2.2649369355609323, ""in_predicate"": false, ""step"": null}, {""feature"": ""sulphates"", ""sel_min"": -0.5713187346759016, ""sel_max"": 2.746298547872885, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -1.1434691355245528, ""sel_max"": 1.2584869402567955, ""in_predicate"": true, ""step"": 5}]"
Wine quality (Low),0,2,25,4,db,0.95,6,0.7391304347826089,0.8095238095238095,0.68,0.021,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.8271568347918463, ""sel_max"": 0.6596831052784345, ""in_predicate"": true, ""step"": 3}, {""feature"": ""volatile acidity"", ""sel_min"": -0.07367761861801908, ""sel_max"": 1.706035128405084, ""in_predicate"": true, ""step"": 2}, {""feature"": ""citric acid"", ""sel_min"": -1.077373080216616, ""sel_max"": 0.5644038855866232, ""in_predicate"": true, ""step"": 1}, {""feature"": ""residual sugar"", ""sel_min"": -0.8280059854143759, ""sel_max"": -0.6057408508666663, ""in_predicate"": false, ""step"": null}, {""feature"": ""chlorides"", ""sel_min"": 0.15971187047646068, ""sel_max"": 1.020823684845984, ""in_predicate"": false, ""step"": null}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.4783711927085446, ""sel_max"": 0.05229652289400212, ""in_predicate"": false, ""step"": null}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.7670046903879282, ""sel_max"": -0.7998341241588868, ""in_predicate"": true, ""step"": 0}, {""feature"": ""density"", ""sel_min"": -0.16824603895290882, ""sel_max"": 1.0336899011174698, ""in_predicate"": true, ""step"": 4}, {""feature"": ""pH"", ""sel_min"": 0.2491631808118246, ""sel_max"": 2.1514002715088574, ""in_predicate"": false, ""step"": null}, {""feature"": ""sulphates"", ""sel_min"": -0.5288003216564083, ""sel_max"": 2.477015265416095, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -1.0989144211580975, ""sel_max"": 1.0939772256729594, ""in_predicate"": true, ""step"": 5}]"
Wine quality (Low),0,2,25,4,db,0.9,4,0.6530612244897959,0.6666666666666666,0.64,0.024,
