dataset,method,seed,layers,region,region_def,cond,n,k,trustworthiness,continuity,mrre_false,mrre_missing,stress
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,hier,21,10,0.9393939393939393,0.9619047619047618,0.9276061373809226,0.9356605781031135,1.6988063204483261
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,flat,21,10,0.9835497835497835,0.987012987012987,0.9610426335525011,0.9616090511145072,0.31322923563897714
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,hier,42,20,0.9799171842650103,0.9891304347826088,0.9519571439844141,0.957024899565416,1.3480737032476953
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,flat,42,20,0.9952380952380951,0.9924430641821947,0.9648869647465393,0.962475241628229,0.2597369312488651
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,hier,50,20,0.9838974358974361,0.9848717948717949,0.9545919238789711,0.9559060654901123,8.18519584143458
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,flat,50,20,0.9896923076923078,0.9903589743589746,0.9641217781744287,0.9655646469384384,2.7643861860693066
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,hier,39,19,0.9748987854251013,0.9703103913630228,0.937677578019135,0.9354763126490567,11.09975472586597
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,flat,39,19,0.9917678812415653,0.9920377867746288,0.9316690573302561,0.9383613733769403,2.7790256376747964
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,hier,28,13,0.924107142857143,0.9584478021978022,0.90368886257704,0.924057678377244,5.456540376961502
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,flat,28,13,0.9862637362637364,0.9601648351648352,0.932358315669223,0.9279888806331961,3.359420264138714
Concentric rings (Low),UMAP,0,2,leaf5,hier_leaf,hier,23,11,0.9552042160737811,0.9664031620553358,0.9214800800145371,0.9218129663920548,3.939196950520425
Concentric rings (Low),UMAP,0,2,leaf5,hier_leaf,flat,23,11,0.9881422924901185,0.9881422924901184,0.9317829957424849,0.9325952472041024,0.6616500758686282
Concentric rings (Low),UMAP,0,2,leaf6,hier_leaf,hier,53,20,0.9905241090146748,0.9935849056603774,0.9645856747803687,0.9657910353261185,4.729854619692738
Concentric rings (Low),UMAP,0,2,leaf6,hier_leaf,flat,53,20,0.9945073375262056,0.9937526205450733,0.9693882315167166,0.969931851024893,1.684649662134011
Concentric rings (Low),UMAP,0,2,class0,gt_class,hier,94,20,0.9892276763276932,0.9732702295191825,0.9768173536157188,0.9705821939532215,9.968477964165412
Concentric rings (Low),UMAP,0,2,class0,gt_class,flat,94,20,0.9905511811023624,0.9816468420170884,0.9751806107924093,0.9728344238965,3.610351436289359
Concentric rings (Low),UMAP,0,2,class1,gt_class,hier,118,20,0.9919031476997576,0.9373656174334141,0.9835399135891847,0.964061970882545,6.145673755916127
Concentric rings (Low),UMAP,0,2,class1,gt_class,flat,118,20,0.9913414043583534,0.9488910411622274,0.9832436699059149,0.9675928818028882,3.3275919101803644
Concentric rings (Low),UMAP,0,2,class2,gt_class,hier,88,20,0.9930138339920949,0.9934090909090909,0.9824612378672694,0.9828770385333492,0.6692646464747525
Concentric rings (Low),UMAP,0,2,class2,gt_class,flat,88,20,0.9902470355731225,0.9777470355731226,0.9823774827368233,0.9765960510265604,0.591231412522825
Concentric rings (Low),PCA,0,2,leaf0,hier_leaf,hier,21,10,1.0,1.0,1.0,1.0,2.7302942639361154e-15
Concentric rings (Low),PCA,0,2,leaf0,hier_leaf,flat,21,10,1.0,1.0,1.0,1.0,3.3144080524581207e-15
Concentric rings (Low),PCA,0,2,leaf1,hier_leaf,hier,42,20,1.0,1.0,1.0,1.0,9.85581639442101e-16
Concentric rings (Low),PCA,0,2,leaf1,hier_leaf,flat,42,20,1.0,1.0,1.0,1.0,1.0571505405822114e-15
Concentric rings (Low),PCA,0,2,leaf2,hier_leaf,hier,50,20,1.0,1.0,1.0,1.0,5.826512077983566e-16
Concentric rings (Low),PCA,0,2,leaf2,hier_leaf,flat,50,20,1.0,1.0,1.0,1.0,8.936711543632766e-16
Concentric rings (Low),PCA,0,2,leaf3,hier_leaf,hier,39,19,1.0,1.0,1.0,1.0,3.447089582358541e-16
Concentric rings (Low),PCA,0,2,leaf3,hier_leaf,flat,39,19,1.0,1.0,1.0,1.0,4.0403942108435914e-16
Concentric rings (Low),PCA,0,2,leaf4,hier_leaf,hier,28,13,1.0,1.0,1.0,1.0,1.3305593775809943e-15
Concentric rings (Low),PCA,0,2,leaf4,hier_leaf,flat,28,13,1.0,1.0,1.0,1.0,1.6962829143382128e-15
Concentric rings (Low),PCA,0,2,leaf5,hier_leaf,hier,23,11,1.0,1.0,1.0,1.0,4.1577807691901374e-15
Concentric rings (Low),PCA,0,2,leaf5,hier_leaf,flat,23,11,1.0,1.0,1.0,1.0,8.193920456283268e-15
Concentric rings (Low),PCA,0,2,leaf6,hier_leaf,hier,53,20,1.0,1.0,1.0,1.0,6.674946958692224e-16
Concentric rings (Low),PCA,0,2,leaf6,hier_leaf,flat,53,20,1.0,1.0,1.0,1.0,6.51176843343055e-16
Concentric rings (Low),PCA,0,2,class0,gt_class,hier,94,20,1.0,1.0,1.0,1.0,4.3763011367014554e-16
Concentric rings (Low),PCA,0,2,class0,gt_class,flat,94,20,1.0,1.0,1.0,1.0,4.0518137812815106e-16
Concentric rings (Low),PCA,0,2,class1,gt_class,hier,118,20,1.0,1.0,1.0,1.0,4.3528623088949264e-16
Concentric rings (Low),PCA,0,2,class1,gt_class,flat,118,20,1.0,1.0,1.0,1.0,6.283418649163233e-16
Concentric rings (Low),PCA,0,2,class2,gt_class,hier,88,20,1.0,1.0,1.0,1.0,5.23871823618633e-16
Concentric rings (Low),PCA,0,2,class2,gt_class,flat,88,20,1.0,1.0,1.0,1.0,5.709153759488151e-16
