dataset,method,seed,layers,ari_h,nmi_h,ari_f,nmi_f,merges,noise_h,noise_f
Concentric rings (Low),UMAP,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),UMAP,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),t-SNE,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),t-SNE,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),PCA,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),PCA,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),MDS,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),MDS,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Breast cancer (Low),UMAP,0,2,0.42773279459303637,0.5500614157259988,0.5581301927054302,0.6144042846641697,1,0.20666666666666667,0.02666666666666667
Breast cancer (Low),UMAP,1,2,0.40220595771258516,0.5423002177109242,0.5079054243528195,0.6198675220948493,1,0.36666666666666664,0.03666666666666667
Breast cancer (Low),t-SNE,0,2,0.33422181553487174,0.5150059671524592,0.7649134650295067,0.7230286976600995,1,0.14666666666666667,0.013333333333333334
Breast cancer (Low),t-SNE,1,2,0.332949952075155,0.5108087604737512,0.5598056206795667,0.6413150738196394,2,0.26666666666666666,0.06333333333333334
Breast cancer (Low),PCA,0,2,0.36176449414233974,0.4934234462274601,0.7217568203675658,0.6680106679740114,2,0.09,0.04
Breast cancer (Low),PCA,1,2,0.38038652691574576,0.5286477118635688,0.5763946902144248,0.6106178504679883,1,0.12666666666666668,0.056666666666666664
Breast cancer (Low),MDS,0,2,0.3432776136912303,0.515665488475225,0.7432801923130077,0.705746133580907,2,0.16666666666666666,0.03
Breast cancer (Low),MDS,1,2,0.3744862862217643,0.5193298079406024,0.568830975812242,0.5997813123821812,2,0.14333333333333334,0.02666666666666667
