dataset,method,seed,layers,region,region_def,cond,n,k,trustworthiness,continuity,mrre_false,mrre_missing,stress
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,hier,21,10,0.9393939393939393,0.9575757575757576,0.91324200913242,0.9165461115774559,1.7089456596252528
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,flat,21,10,0.9670995670995671,0.9593073593073592,0.9308315707201243,0.9238738198571029,0.3937595904872451
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,hier,42,20,0.9739130434782608,0.9841614906832299,0.9478710102700854,0.9480658603357199,1.4915678637026188
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,flat,42,20,0.9905797101449275,0.987888198757764,0.9583049288952342,0.955108479837855,0.6797974162581492
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,hier,50,20,0.9856410256410255,0.9883589743589744,0.9517929032226555,0.9608827998268841,8.348238020800773
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,flat,50,20,0.9922051282051284,0.9917435897435897,0.9620310357616784,0.9641302392441823,2.5341127236629055
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,hier,39,19,0.9824561403508769,0.9775978407557352,0.9472108585347538,0.9438548303190243,10.339268258080116
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,flat,39,19,0.9913630229419701,0.9832658569500674,0.9237571853752715,0.9226685207921624,2.3944831653402665
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,hier,28,13,0.9539835164835165,0.9787087912087912,0.9108941221976928,0.9312036821628291,4.702877061367003
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,flat,28,13,0.9347527472527474,0.9158653846153848,0.8947205581618011,0.8893091572678985,3.675092240142051
Concentric rings (Low),UMAP,0,2,leaf5,hier_leaf,hier,23,11,0.9664031620553359,0.9690382081686428,0.9156961287113426,0.9163502490448742,3.9341776144005354
Concentric rings (Low),UMAP,0,2,leaf5,hier_leaf,flat,23,11,0.9960474308300394,0.9967061923583662,0.9493214126886231,0.9530935967240474,0.8812398147901009
Concentric rings (Low),UMAP,0,2,leaf6,hier_leaf,hier,53,20,0.991446540880503,0.9932075471698113,0.964501176355377,0.9668958900692894,4.453984851462909
Concentric rings (Low),UMAP,0,2,leaf6,hier_leaf,flat,53,20,0.988888888888889,0.990188679245283,0.9629253181652303,0.9622931004882693,1.6332670493521595
Concentric rings (Low),UMAP,0,2,class0,gt_class,hier,94,20,0.9883648852404088,0.9725079577818729,0.9756581327682016,0.9693099168539527,9.303033773386915
