build_seconds,dbcv_leaf,dbcv_status,dbcv_leaf_noisefree,tnc_mean,n_scored_nodes,scored_coverage,zero_embed_nodes,n_leaves,median_leaf_size,min_leaf_size,noise_frac,preclustering_skipped,n_rows,n_features,ari,ami,ari_depth1,exception,degenerate,dataset,arm,trial,p_hierarchical_layers,p_hclust_umap_n_components,p_hclust_min_cluster_size,p_hclust_min_samples,p_umap_n_neighbors,p_umap_min_dist,p_method,p_tsne_perplexity,p_tsne_learning_rate,p_mds_n_init,p_mds_max_iter
16.544718980789185,-0.708462566608695,ok,-0.7013276015594283,0.9173275171158405,3,1.0,0,2,281.0,179,0.012302284710017574,False,569,30,0.7766072648704907,0.6968967496061387,0.7766072648704907,,False,Breast cancer (Low),trial,0,3,19,66,63,12,0.07799726016810132,UMAP,,,,
18.440564393997192,-0.21899627741718097,ok,-0.4495478652884114,0.8765656676679086,8,1.0,0,5,54.0,29,0.5166959578207382,False,569,30,0.46239331048475446,0.5819884153186963,0.7753528731187269,,True,Breast cancer (Low),trial,1,3,8,23,22,13,0.09170225492671691,UMAP,,,,
19.561580419540405,-0.5212874457770869,ok,-0.644809905754701,0.9350324420365256,3,1.0,0,2,230.0,169,0.19156414762741653,False,569,30,0.8731184772778917,0.7935117923393797,0.8731184772778917,,False,Breast cancer (Low),trial,2,1,12,95,17,25,0.3925879806965068,t-SNE,32.339518335564726,178.8188824504186,,
13.475913047790527,-0.3034517967466207,ok,-0.5394448248201666,0.8832920652388768,6,1.0,0,4,83.5,32,0.43409490333919154,False,569,30,0.5975309080153243,0.6649081066444363,0.7506355926619472,,False,Breast cancer (Low),trial,3,3,25,29,28,19,0.048836057003191935,PCA,,,,
19.971158742904663,-0.29663361589231985,ok,-0.4008045940564725,0.8035016576196365,4,1.0,0,3,94.0,52,0.34973637961335674,False,569,30,0.8045641376492948,0.7436272144243696,0.8045641376492948,,False,Breast cancer (Low),trial,4,1,21,25,23,19,0.2600340105889054,t-SNE,47.27745237038851,895.8790769233724,,
18.989012002944946,-0.37519586966721336,ok,-0.4623457360688258,0.8974295084412033,3,1.0,0,2,232.0,126,0.18453427065026362,False,569,30,0.8622993551812146,0.7942559670928004,0.8622993551812146,,False,Breast cancer (Low),trial,5,1,7,93,86,7,0.16266516538163217,t-SNE,17.642052935932135,547.269122326666,,
13.387576341629028,,degenerate:1_clusters,,0.9339278881951092,1,1.0,0,1,569.0,569,0.0,True,569,30,0.0,0.0,0.0,,True,Breast cancer (Low),trial,6,1,30,38,31,40,0.0993578407670862,UMAP,,,,
12.717779636383057,-0.5505291643463559,ok,-0.6936667423017164,0.9056178472518622,3,1.0,0,2,227.5,170,0.20035149384885764,False,569,30,0.8801119871722102,0.8022116400619111,0.8801119871722102,,False,Breast cancer (Low),trial,7,2,5,115,14,44,0.31164906341377896,PCA,,,,
14.43956995010376,,degenerate:1_clusters,,0.9309716248890666,1,1.0,0,1,569.0,569,0.0,False,569,30,0.0,0.0,0.0,,True,Breast cancer (Low),trial,8,3,15,109,71,10,0.3566223936114975,t-SNE,28.522977322189732,433.26560817496414,,
12.48244833946228,-0.5101796162710327,ok,-0.5846900818095903,0.9033343732808674,4,1.0,0,3,181.0,29,0.12302284710017575,False,569,30,0.7017853744238454,0.6284870090772214,0.7017853744238454,,False,Breast cancer (Low),trial,9,1,20,24,4,19,0.2542853455823514,PCA,,,,
