build_seconds,dbcv_leaf,dbcv_status,dbcv_leaf_noisefree,tnc_mean,n_scored_nodes,scored_coverage,zero_embed_nodes,n_leaves,median_leaf_size,min_leaf_size,noise_frac,preclustering_skipped,n_rows,n_features,ari,ami,ari_depth1,exception,degenerate,dataset,arm,trial,p_hierarchical_layers,p_hclust_umap_n_components,p_hclust_min_cluster_size,p_hclust_min_samples,p_umap_n_neighbors,p_umap_min_dist,p_method,p_tsne_perplexity,p_tsne_learning_rate
61.110079288482666,-0.6147317513927963,ok,-0.6204617350938322,0.9686321189692539,3.0,1.0,0.0,2.0,3218.5,1614.0,0.009235031553024473,False,6497.0,11.0,0.9573274660241479,0.9026181596781104,0.9573274660241479,,False,Wine quality (Low),trial,0,3,7,621,592,12,0.07799726016810132,UMAP,,
180.19239830970764,,,,,,,,,,,,,,,,,,timeout,True,Wine quality (Low),trial,1,3,10,1156,80,14,0.09091248360355031,t-SNE,24.43752583889521,298.3168487960615
180.19436025619507,,,,,,,,,,,,,,,,,,timeout,True,Wine quality (Low),trial,2,1,5,1002,183,25,0.3925879806965068,t-SNE,7.090268572399898,611.4694033824239
60.48798418045044,0.00955690820428735,ok,-0.007269718358297922,0.9648572162280485,3.0,1.0,0.0,2.0,1292.0,338.0,0.6022779744497461,True,6497.0,11.0,0.9934043544680482,0.9781394021137231,0.9934043544680482,,True,Wine quality (Low),trial,3,3,11,294,33,42,0.15230688458668534,UMAP,,
46.814127922058105,,degenerate:1_clusters,,0.9806261023207252,1.0,1.0,0.0,1.0,6497.0,6497.0,0.0,True,6497.0,11.0,0.0,0.0,0.0,,True,Wine quality (Low),trial,4,1,11,217,113,16,0.331261142176991,t-SNE,13.318450498648717,969.888781486913
180.19308423995972,,,,,,,,,,,,,,,,,,timeout,True,Wine quality (Low),trial,5,3,7,1264,1191,47,0.04424625102595975,t-SNE,22.49047803602669,278.63554145615694
55.44537854194641,-0.5162881801344488,ok,-0.6347104458028816,0.9535936204265596,3.0,1.0,0.0,2.0,2843.5,1384.0,0.12467292596583038,False,6497.0,11.0,0.9744636395123237,0.9358656939923585,0.9744636395123237,,False,Wine quality (Low),trial,6,1,7,1350,525,11,0.40109849037701983,UMAP,,
89.34849882125854,-0.28192629554436877,ok,-0.5919385929573694,0.9598136456386657,7.0,1.0,0.0,4.0,667.0,400.0,0.42111743881791597,False,6497.0,11.0,0.5061240599645366,0.6215440408570853,0.9621051320452868,,False,Wine quality (Low),trial,7,3,9,340,19,38,0.38563517334297287,UMAP,,
180.14525079727173,,,,,,,,,,,,,,,,,,timeout,True,Wine quality (Low),trial,8,1,2,1405,902,19,0.16259166101337352,t-SNE,26.24967163228772,128.3983034789187
31.591144323349,-0.58763700263628,ok,-0.6179144878438019,0.9050764245462825,3.0,1.0,0.0,2.0,3166.5,1598.0,0.02524241957826689,False,6497.0,11.0,0.9593175697487076,0.9072220280428842,0.9593175697487076,,False,Wine quality (Low),trial,9,2,9,1165,900,27,0.26136641469099703,PCA,,
