arm,method,split,t,dim_precision,dim_recall,dim_f1,membership_f1,coverage,n_selections
synth-sym-tight,threshold,symmetric,0.9,1.0,1.0,1.0,0.09523809523809523,0.0125,80
synth-sym-tight,threshold,symmetric,0.95,1.0,1.0,1.0,0.2758751902587519,0.041666666666666664,80
synth-sym-tight,threshold,symmetric,1.0,1.0,1.0,1.0,0.975609756097561,0.2625,80
synth-sym-wide,db,severity,0.8,1.0,0.3333333333333333,0.5,0.8785046728971964,0.19583333333333333,80
synth-sym-wide,db,severity,0.9,1.0,0.3333333333333333,0.5,0.9380530973451328,0.22083333333333333,80
synth-sym-wide,db,severity,0.95,1.0,0.3333333333333333,0.5,0.9655172413793104,0.23333333333333334,80
synth-sym-wide,db,severity,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,80
synth-sym-wide,db,symmetric,0.8,1.0,0.3333333333333333,0.5,0.888888888888889,0.2,80
synth-sym-wide,db,symmetric,0.9,1.0,0.3333333333333333,0.5,0.9473684210526316,0.225,80
synth-sym-wide,db,symmetric,0.95,1.0,0.3333333333333333,0.5,0.9655172413793104,0.23333333333333334,80
synth-sym-wide,db,symmetric,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,80
synth-sym-wide,threshold,severity,0.8,1.0,1.0,1.0,0.0,0.0,80
synth-sym-wide,threshold,severity,0.9,1.0,1.0,1.0,0.06451612903225806,0.008333333333333333,80
synth-sym-wide,threshold,severity,0.95,1.0,1.0,1.0,0.2857142857142857,0.041666666666666664,80
synth-sym-wide,threshold,severity,1.0,1.0,1.0,1.0,1.0,0.25,80
synth-sym-wide,threshold,symmetric,0.8,1.0,1.0,1.0,0.0,0.0,80
synth-sym-wide,threshold,symmetric,0.9,1.0,1.0,1.0,0.09523809523809523,0.0125,80
synth-sym-wide,threshold,symmetric,0.95,1.0,1.0,1.0,0.2857142857142857,0.041666666666666664,80
synth-sym-wide,threshold,symmetric,1.0,1.0,1.0,1.0,1.0,0.25,80
