arm,method,split,delta,metric,t,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,median_value,median_strict,median_f1,f1_ratio,median_coverage,primary,p_holm
synth-bimodal-tight,threshold,severity,0.2,jaccard_admitted,0.95,80,-0.17254904953604125,0.0,7.849526548031477e-15,-1.0,0.4493850380506818,0.6095638322266518,0.2608695652173913,0.2739130434782609,0.041666666666666664,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,severity,0.2,jaccard_admitted,0.9,80,-0.19687010406533925,0.05,1.172474864123212e-13,-0.9,0.414655388471178,0.6095638322266518,0.06451612903225806,0.06774193548387097,0.008333333333333333,False,2.344949728246424e-13
synth-bimodal-tight,threshold,severity,0.2,jaccard_admitted,0.8,80,0.21529061316778358,0.725,9.40325437183393e-09,0.45,0.8105263157894737,0.6095638322266518,0.0,0.0,0.0,False,9.40325437183393e-09
synth-bimodal-tight,threshold,severity,0.2,f1_sd,0.95,80,0.0009360640164527076,0.475,0.1824111210128384,-0.05,0.039489658006462064,0.037933558858414256,0.2608695652173913,0.2739130434782609,0.041666666666666664,False,0.1824111210128384
synth-bimodal-tight,threshold,severity,0.2,f1_sd,0.9,80,-0.006479874307716241,0.7,1.6272609074313168e-07,0.4,0.03193729447281127,0.037933558858414256,0.06451612903225806,0.06774193548387097,0.008333333333333333,False,3.2545218148626337e-07
synth-bimodal-tight,threshold,severity,0.2,f1_sd,0.8,80,-0.03060623030170906,1.0,7.849526548031477e-15,1.0,0.008711480383205331,0.037933558858414256,0.0,0.0,0.0,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,symmetric,0.05,jaccard_admitted,0.95,80,-0.03843261583151086,0.2875,3.4370904571369857e-06,-0.425,0.6834846792919752,0.718824372269887,0.2712798530312308,0.28484384568279236,0.041666666666666664,False,6.874180914273971e-06
synth-bimodal-tight,threshold,symmetric,0.05,jaccard_admitted,0.9,80,-0.0605292384146916,0.2875,4.747255665682049e-06,-0.425,0.6558646616541353,0.718824372269887,0.09523809523809523,0.1,0.0125,False,6.874180914273971e-06
synth-bimodal-tight,threshold,symmetric,0.05,jaccard_admitted,0.8,80,0.2499561848661035,0.775,2.1775702185056996e-08,0.55,1.0,0.718824372269887,0.0,0.0,0.0,False,6.532710655517099e-08
synth-bimodal-tight,threshold,symmetric,0.05,f1_sd,0.95,80,-0.02603873350465525,0.9875,8.152358880315248e-15,0.975,0.028511314882393606,0.05737074820376474,0.2712798530312308,0.28484384568279236,0.041666666666666664,False,2.3548579644094432e-14
synth-bimodal-tight,threshold,symmetric,0.05,f1_sd,0.9,80,-0.031683474837488255,1.0,7.849526548031477e-15,1.0,0.02553203491463798,0.05737074820376474,0.09523809523809523,0.1,0.0125,False,2.3548579644094432e-14
