dataset,method,region_def,metric,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,primary
Concentric rings (Low),MDS,hier_leaf,mrre_missing,14,-0.0003860338416695752,0.7857142857142857,0.0418701171875,0.5714285714285714,False
Concentric rings (Low),MDS,hier_leaf,stress,14,0.001164201619804729,0.14285714285714285,0.090576171875,-0.7142857142857143,False
Concentric rings (Low),PCA,gt_class,trustworthiness,6,0.0,0.0,,,True
Concentric rings (Low),PCA,gt_class,continuity,6,0.0,0.0,,,True
Concentric rings (Low),PCA,gt_class,mrre_false,6,0.0,0.0,,,False
Concentric rings (Low),PCA,gt_class,mrre_missing,6,0.0,0.0,,,False
Concentric rings (Low),PCA,gt_class,stress,6,-4.704355233018213e-17,0.6666666666666666,,0.3333333333333333,False
Concentric rings (Low),PCA,hier_leaf,trustworthiness,14,0.0,0.0,,,True
Concentric rings (Low),PCA,hier_leaf,continuity,14,0.0,0.0,,,True
Concentric rings (Low),PCA,hier_leaf,mrre_false,14,0.0,0.0,,,False
Concentric rings (Low),PCA,hier_leaf,mrre_missing,14,0.0,0.0,,,False
Concentric rings (Low),PCA,hier_leaf,stress,14,-3.1101994656492006e-16,0.8571428571428571,,0.7142857142857143,False
Concentric rings (Low),UMAP,gt_class,trustworthiness,6,0.0005664424006356916,0.5,0.4375,0.0,True
Concentric rings (Low),UMAP,gt_class,continuity,6,-0.0028916389156888878,0.3333333333333333,0.5625,-0.3333333333333333,True
Concentric rings (Low),UMAP,gt_class,mrre_false,6,-0.00033819380666766374,0.6666666666666666,1.0,0.3333333333333333,False
Concentric rings (Low),UMAP,gt_class,mrre_missing,6,-0.001322931340344391,0.6666666666666666,0.84375,0.3333333333333333,False
Concentric rings (Low),UMAP,gt_class,stress,6,0.9845430284796901,0.16666666666666666,0.09375,-0.6666666666666666,False
Concentric rings (Low),UMAP,hier_leaf,trustworthiness,14,-0.01786184829663079,0.14285714285714285,0.0052490234375,-0.7142857142857143,True
Concentric rings (Low),UMAP,hier_leaf,continuity,14,-0.008991993513732754,0.2857142857142857,0.3258056640625,-0.42857142857142855,True
Concentric rings (Low),UMAP,hier_leaf,mrre_false,14,-0.008049325157821918,0.7142857142857143,0.0784912109375,0.42857142857142855,False
Concentric rings (Low),UMAP,hier_leaf,mrre_missing,14,-0.009315431104180705,0.7142857142857143,0.067626953125,0.42857142857142855,False
Concentric rings (Low),UMAP,hier_leaf,stress,14,2.425273943020538,0.07142857142857142,0.0006103515625,-0.8571428571428571,False
Concentric rings (Low),t-SNE,gt_class,trustworthiness,6,0.0027748184019371624,0.6666666666666666,0.15625,0.3333333333333333,True
Concentric rings (Low),t-SNE,gt_class,continuity,6,0.03465859564164653,0.6666666666666666,0.15625,0.3333333333333333,True
Concentric rings (Low),t-SNE,gt_class,mrre_false,6,-0.000251079914277863,0.6666666666666666,0.5625,0.3333333333333333,False
Concentric rings (Low),t-SNE,gt_class,mrre_missing,6,0.0012645011366121395,0.3333333333333333,0.5625,-0.3333333333333333,False
Concentric rings (Low),t-SNE,gt_class,stress,6,-1.2726246290617151,0.6666666666666666,1.0,0.3333333333333333,False
Concentric rings (Low),t-SNE,hier_leaf,trustworthiness,14,-0.03657219973009462,0.0,0.0001220703125,-1.0,True
Concentric rings (Low),t-SNE,hier_leaf,continuity,14,-0.0321187584345477,0.0,0.0001220703125,-1.0,True
Concentric rings (Low),t-SNE,hier_leaf,mrre_false,14,-0.11310115897048689,1.0,0.0001220703125,1.0,False
Concentric rings (Low),t-SNE,hier_leaf,mrre_missing,14,-0.15963535784764105,1.0,0.0001220703125,1.0,False
Concentric rings (Low),t-SNE,hier_leaf,stress,14,113.22291777776685,0.0,0.0001220703125,-1.0,False
