dataset,method,seed,layers,ari_h,nmi_h,ari_f,nmi_f,merges,noise_h,noise_f
Concentric rings (Low),UMAP,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),UMAP,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),t-SNE,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),t-SNE,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),PCA,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),PCA,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),MDS,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),MDS,1,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Breast cancer (Low),UMAP,0,2,0.5608927702582291,0.5722386690592508,0.5608927702582291,0.5722386690592508,0,0.07,0.03
Breast cancer (Low),UMAP,1,2,0.3525794347082709,0.5177492176532688,0.5480602600382247,0.6084140991872583,2,0.22,0.04666666666666667
Breast cancer (Low),t-SNE,0,2,0.4628367432721272,0.5712423106603867,0.5286385379776943,0.590853072084846,2,0.18666666666666668,0.043333333333333335
Breast cancer (Low),t-SNE,1,2,0.3358181414183445,0.5131437888539445,0.7557304467039533,0.717106072793888,2,0.18333333333333332,0.03
Breast cancer (Low),PCA,0,2,0.3185841292458524,0.48796295917214855,0.7252018132457358,0.6989159664992544,2,0.18666666666666668,0.02
Breast cancer (Low),PCA,1,2,0.38051325301366196,0.5150683215088789,0.5600689768407965,0.5996404910647986,3,0.12666666666666668,0.043333333333333335
Breast cancer (Low),MDS,0,2,0.31948604375706713,0.5076976613000027,0.5927152971308871,0.6534288490004689,2,0.2,0.03
Breast cancer (Low),MDS,1,2,0.3930177913597349,0.5268672115199546,0.5571915752344367,0.5987273446662807,2,0.15666666666666668,0.05333333333333334
