dataset,method,seed,layers,region,region_def,cond,n,k,trustworthiness,continuity,mrre_false,mrre_missing,stress
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,hier,21,10,0.954978354978355,0.9757575757575758,0.925584553980189,0.9265668547070914,1.668323833188771
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,flat,21,10,0.9748917748917747,0.9818181818181818,0.9223263772834238,0.9233605570963361,0.3256718439243035
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,hier,42,20,0.9732919254658385,0.9811594202898549,0.9502447459714221,0.9527576418423984,1.2912031032660636
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,flat,42,20,0.9939958592132505,0.9927536231884059,0.9662301704417791,0.9671475325875524,0.3850685628986884
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,hier,50,20,0.9818461538461538,0.9844615384615385,0.9614967469187365,0.9636906089412058,8.551130640909992
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,flat,50,20,0.9924102564102565,0.9925641025641028,0.9659682229608642,0.9686268718696156,2.945120569140964
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,hier,39,19,0.9887989203778677,0.9887989203778673,0.9503444934351563,0.9495079514817536,9.278748869348412
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,flat,39,19,0.9747638326585696,0.9711201079622134,0.934436260490135,0.9351204022343413,3.8030185585454883
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,hier,28,13,0.9144917582417583,0.9601648351648352,0.904239076089904,0.9197148235378741,5.37349488610379
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,flat,28,13,0.9402472527472528,0.9464285714285715,0.9057982206506096,0.9277162424333988,4.434178159001618
Concentric rings (Low),UMAP,0,2,leaf5,hier_leaf,hier,23,11,0.9808959156785243,0.986824769433465,0.9322115251957047,0.9339482953159876,3.6783283789536982
