track,dataset,dr_method,cluster_method,sampler,baseline,best,gain,ari_tuned,ari_base,y_actually_plotted,ari_gain_corrected
A,Wine quality (Low),UMAP,HDBSCAN,TPE,-0.3959609423413301,-0.0681054759144187,0.3278554664269114,0.5470125493846469,,0.5470125493846469,
A,Wine quality (Low),UMAP,DBSCAN,TPE,-0.4138938256047,0.0635327329200522,0.4774265585247523,0.0578404766582474,,0.0578404766582474,
A,Wine quality (Low),UMAP,KMeans,TPE,-0.5432095584424345,-0.2966525746232687,0.2465569838191657,0.0804176499531421,,0.0804176499531421,
A,Wine quality (Low),t-SNE,HDBSCAN,TPE,-0.2473796829400802,-0.0250170019233334,0.2223626810167468,0.7238512840664985,,0.7238512840664985,
A,Wine quality (Low),t-SNE,DBSCAN,TPE,-1.0,0.0137353553291942,1.0137353553291943,0.0881298555073298,,0.0881298555073298,
A,Wine quality (Low),t-SNE,KMeans,TPE,-0.4981709878632446,-0.3276229635524679,0.1705480243107767,0.0704710145132569,,0.0704710145132569,
A,Wine quality (Low),PCA,HDBSCAN,TPE,-0.2715835563760942,0.2340871780166659,0.5056707343927601,0.220536637019662,,0.220536637019662,
A,Wine quality (Low),PCA,DBSCAN,TPE,-0.0625876584795578,0.1009970547526792,0.1635847132322371,0.0189473323698046,,0.0189473323698046,
A,Wine quality (Low),PCA,KMeans,TPE,-0.5320382686538703,-0.3269787855143434,0.2050594831395268,0.0875885974986989,,0.0875885974986989,
A,Wine quality (Low),MDS,HDBSCAN,TPE,-0.1191396215563556,0.2344865454602415,0.3536261670165972,0.2184473231163914,,0.2184473231163914,
A,Wine quality (Low),MDS,DBSCAN,TPE,-0.1781643135678538,0.2190618251952779,0.3972261387631318,0.1122164460939674,,0.1122164460939674,
A,Wine quality (Low),MDS,KMeans,TPE,-0.4927635685374215,-0.3068924885660579,0.1858710799713636,0.0970553246031276,,0.0970553246031276,
A,Digits (Low),UMAP,HDBSCAN,TPE,-0.2147516503366425,-0.1267210206355359,0.0880306297011065,0.6999151954066629,,0.6999151954066629,
A,Digits (Low),UMAP,DBSCAN,TPE,-0.3905199397604285,0.0646003400808551,0.4551202798412836,0.1983456997601423,,0.1983456997601423,
A,Digits (Low),UMAP,KMeans,TPE,-0.5627369442334267,-0.1640467523900187,0.3986901918434079,0.7155102734056811,,0.7155102734056811,
A,Digits (Low),t-SNE,HDBSCAN,TPE,-0.1919371746620234,0.0719455303862666,0.2638827050482901,0.4085842102368945,,0.4085842102368945,
A,Digits (Low),t-SNE,DBSCAN,TPE,-1.0,0.0872670200774482,1.087267020077448,0.3726786784922767,,0.3726786784922767,
A,Digits (Low),t-SNE,KMeans,TPE,-0.5410958760032164,-0.2302810716473859,0.3108148043558305,0.6379227126887977,,0.6379227126887977,
A,Digits (Low),PCA,HDBSCAN,TPE,-0.0979762859690513,0.1440804166556878,0.2420567026247392,0.2752087613422333,,0.2752087613422333,
A,Digits (Low),PCA,DBSCAN,TPE,-0.3150553035635835,0.1418237184724373,0.4568790220360209,0.1823009928236223,,0.1823009928236223,
A,Digits (Low),PCA,KMeans,TPE,-0.6580034540604928,-0.2169530209336919,0.4410504331268008,0.5906255556603732,,0.5906255556603732,
A,Digits (Low),MDS,HDBSCAN,TPE,-0.0771694968786738,0.1378287218956987,0.2149982187743725,0.0046069129563752,,0.0046069129563752,
A,Digits (Low),MDS,DBSCAN,TPE,0.0235373801516708,0.1277601624557015,0.1042227823040306,0.172030994159221,,0.172030994159221,
A,Digits (Low),MDS,KMeans,TPE,-0.6122967385515079,-0.1956741804042736,0.4166225581472342,0.5642005889578517,,0.5642005889578517,
A,Breast cancer (Low),UMAP,HDBSCAN,TPE,-0.697522096930044,-0.0836969619627589,0.6138251349672851,0.016334775710805,,0.016334775710805,
A,Breast cancer (Low),UMAP,DBSCAN,TPE,-0.6911481969651789,-0.1262484313199398,0.564899765645239,0.0815512547777617,,0.0815512547777617,
A,Breast cancer (Low),UMAP,KMeans,TPE,-0.5823355603699567,-0.3979915878003905,0.1843439725695661,0.1118342727311487,,0.1118342727311487,
A,Breast cancer (Low),t-SNE,HDBSCAN,TPE,-0.2376749775939539,-0.0822705478459873,0.1554044297479666,0.1985656770989039,,0.1985656770989039,
A,Breast cancer (Low),t-SNE,DBSCAN,TPE,-1.0,-0.1517574067361304,0.8482425932638695,0.2438602809538677,,0.2438602809538677,
A,Breast cancer (Low),t-SNE,KMeans,TPE,-0.5194274104995519,-0.4155579726933601,0.1038694378061917,0.1004804793640201,,0.1004804793640201,
A,Breast cancer (Low),PCA,HDBSCAN,TPE,-0.1848980181771976,0.0273970663717552,0.2122950845489529,0.4549383161584787,,0.4549383161584787,
A,Breast cancer (Low),PCA,DBSCAN,TPE,-0.2631106631484094,0.1350120830968101,0.3981227462452196,0.1151119133259999,,0.1151119133259999,
A,Breast cancer (Low),PCA,KMeans,TPE,-0.5577040246736974,-0.3752055371753179,0.1824984874983794,0.1478700016827769,,0.1478700016827769,
A,Breast cancer (Low),MDS,HDBSCAN,TPE,-0.1995401217175157,0.1847457310048909,0.3842858527224067,0.0196047358081529,,0.0196047358081529,
A,Breast cancer (Low),MDS,DBSCAN,TPE,-0.1797506931668424,0.2401521122551801,0.4199028054220225,0.0295649989580297,,0.0295649989580297,
A,Breast cancer (Low),MDS,KMeans,TPE,-0.6149730445972728,-0.349700723241883,0.2652723213553897,0.1455660308570965,,0.1455660308570965,
A,Concentric rings (Low),UMAP,HDBSCAN,TPE,0.0655080997845543,0.4919465331206854,0.4264384333361311,0.1217832161600553,,0.1217832161600553,
A,Concentric rings (Low),UMAP,DBSCAN,TPE,0.2058385336958586,0.4605975572327728,0.2547590235369141,0.1131196885516684,,0.1131196885516684,
A,Concentric rings (Low),UMAP,KMeans,TPE,-0.0708863302114089,0.2065753672118466,0.2774616974232555,0.2944932155297531,,0.2944932155297531,
A,Concentric rings (Low),t-SNE,HDBSCAN,TPE,0.2967998718664606,0.4963085357162887,0.1995086638498281,0.532232047945479,,0.532232047945479,
A,Concentric rings (Low),t-SNE,DBSCAN,TPE,0.125744420004066,0.4832888145950944,0.3575443945910284,0.5291723581416369,,0.5291723581416369,
A,Concentric rings (Low),t-SNE,KMeans,TPE,-0.220107783662023,0.2160282574539463,0.4361360411159694,0.5096151013977674,,0.5096151013977674,
A,Concentric rings (Low),PCA,HDBSCAN,TPE,0.2323672999150179,0.5127101957892829,0.280342895874265,0.4793906689529462,,0.4793906689529462,
A,Concentric rings (Low),PCA,DBSCAN,TPE,-1.0,0.4057730006361794,1.4057730006361795,0.6243339217608427,,0.6243339217608427,
A,Concentric rings (Low),PCA,KMeans,TPE,-0.1141903817557283,-0.1141903817557283,0.0,0.466062860440349,,0.466062860440349,
A,Concentric rings (Low),MDS,HDBSCAN,TPE,0.2323672999150179,0.5375699697188583,0.3052026698038403,0.4731514230604237,,0.4731514230604237,
A,Concentric rings (Low),MDS,DBSCAN,TPE,-1.0,0.3647114714637893,1.3647114714637891,0.7416095140853564,,0.7416095140853564,
A,Concentric rings (Low),MDS,KMeans,TPE,-0.1141903817557283,-0.1141903817557283,0.0,0.466062860440349,,0.466062860440349,
