track,dataset,dr_method,cluster_method,objective,sampler,baseline,best,gain,gain_pct,best_params,tunable,dbcv_embedded,silhouette,ari,nmi,trustworthiness,continuity,stress,n_clusters,noise_frac
A,Wine quality (Low),PCA,HDBSCAN,dbcv,TPE,-0.2715835563760942,0.23408717801666593,0.5056707343927601,186.19342832836955,"{""n_components"": 9, ""hclust_min_cluster_size"": 3, ""hclust_min_samples"": 25}",True,0.1968841239340853,0.36846347395401186,0.22053663701966206,0.2918455293130469,,,,2.0,0.48
A,Wine quality (Low),PCA,HDBSCAN,dbcv,Random,-0.2715835563760942,0.23408717801666593,0.5056707343927601,186.19342832836955,"{""n_components"": 9, ""hclust_min_cluster_size"": 3, ""hclust_min_samples"": 25}",True,0.1968841239340853,0.36846347395401186,0.22053663701966206,0.2918455293130469,,,,2.0,0.48
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,-0.06258765847955783,0.09475771808316083,0.15734537656271866,251.40000502512854,"{""n_components"": 6, ""dbscan_eps"": 1.5270227869704054, ""hclust_min_samples"": 16}",True,0.3287186160004414,0.35858043124300754,0.6169526553081526,0.5221401498256636,,,,2.0,0.25
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,-0.06258765847955783,0.09475771808316083,0.15734537656271866,251.40000502512854,"{""n_components"": 6, ""dbscan_eps"": 1.5270227869704054, ""hclust_min_samples"": 16}",True,0.3287186160004414,0.35858043124300754,0.6169526553081526,0.5221401498256636,,,,2.0,0.25
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,-0.5320382686538703,-0.35288681228269897,0.1791514563711713,33.67266358949123,"{""n_components"": 5, ""cluster_n_clusters"": 15}",True,-0.44238511553113946,0.11338687008931117,0.09314841624122677,0.29509801294663485,,,,15.0,0.0
A,Wine quality (Low),PCA,KMeans,dbcv,Random,-0.5320382686538703,-0.35288681228269897,0.1791514563711713,33.67266358949123,"{""n_components"": 5, ""cluster_n_clusters"": 15}",True,-0.44238511553113946,0.11338687008931117,0.09314841624122677,0.29509801294663485,,,,15.0,0.0
A,Wine quality (Low),PCA,GMM,dbcv,TPE,-0.40565750463223904,-0.4017151417165723,0.003942362915666742,0.9718451823640756,"{""n_components"": 8, ""gmm_n_components"": 11}",True,-0.3707974477699681,0.0719370193967148,0.11399116641046773,0.31808850616827533,,,,11.0,0.0
A,Wine quality (Low),PCA,GMM,dbcv,Random,-0.40565750463223904,-0.4017151417165723,0.003942362915666742,0.9718451823640756,"{""n_components"": 8, ""gmm_n_components"": 11}",True,-0.3707974477699681,0.0719370193967148,0.11399116641046773,0.31808850616827533,,,,11.0,0.0
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,-0.1319106538692471,0.17092986616139902,0.3028405200306461,229.5800309888757,"{""n_components"": 8, ""hclust_min_cluster_size"": 3, ""hclust_min_samples"": 25}",True,0.16134024834650457,0.36414050176988294,0.22821490276145354,0.3079561528669384,,,,2.0,0.476
A,Wine quality (Low),MDS,HDBSCAN,dbcv,Random,-0.1319106538692471,0.20252929196917713,0.33443994583842424,253.53520434363767,"{""n_components"": 8, ""hclust_min_cluster_size"": 3, ""hclust_min_samples"": 25}",True,0.1655058407235343,0.36863735270769077,0.1949085672906692,0.2909697829777201,,,,2.0,0.496
A,Wine quality (Low),MDS,DBSCAN,dbcv,TPE,-0.13479863426909403,0.09486997741119949,0.2296686116802935,170.37903456930707,"{""n_components"": 5, ""dbscan_eps"": 1.5270227869704054, ""hclust_min_samples"": 16}",True,0.22899905765225295,0.3616736686605755,0.45859855690223317,0.4228225068103611,,,,2.0,0.338
A,Wine quality (Low),MDS,DBSCAN,dbcv,Random,-0.13479863426909403,0.23045173761154833,0.36525037188064235,270.9599944102588,"{""n_components"": 5, ""dbscan_eps"": 1.5270227869704054, ""hclust_min_samples"": 16}",True,0.21196911560465934,0.36108808950397026,0.48745193159817785,0.43920217180254884,,,,2.0,0.326
A,Wine quality (Low),MDS,KMeans,dbcv,TPE,-0.5056724259459133,-0.3957839526604015,0.10988847328551182,21.73115788940912,"{""n_components"": 5, ""cluster_n_clusters"": 15}",True,-0.45590534745266914,0.10663220562952645,0.07187801417619473,0.288355341242691,,,,15.0,0.0
A,Wine quality (Low),MDS,KMeans,dbcv,Random,-0.5056724259459133,-0.39067419435065737,0.11499823159525596,22.741645716619747,"{""n_components"": 4, ""cluster_n_clusters"": 9}",True,-0.4364875649568694,0.13647052644149363,0.1573839601545555,0.3633687614841628,,,,9.0,0.0
A,Wine quality (Low),MDS,GMM,dbcv,TPE,-0.5973748698872547,-0.3834796600890842,0.21389520979817056,35.80586003534765,"{""n_components"": 5, ""gmm_n_components"": 15}",True,-0.42303579491875676,0.07912803476992677,0.0748722262010383,0.27462260697711344,,,,15.0,0.0
A,Wine quality (Low),MDS,GMM,dbcv,Random,-0.5973748698872547,-0.3913971417919129,0.20597772809534187,34.480480930544836,"{""n_components"": 9, ""gmm_n_components"": 4}",True,-0.4334778666308913,0.1961304126973972,0.41689487744546905,0.5531002549250688,,,,4.0,0.0
A,Swiss roll (Low),UMAP,HDBSCAN,dbcv,TPE,-0.4963396488157769,0.09622613001643612,0.5925657788322131,119.38715358445035,"{""umap_n_neighbors"": 42, ""umap_min_dist"": 0.15230688458668534, ""n_components"": 2, ""hclust_min_cluster_size"": 35, ""hclust_min_samples"": 12}",True,0.2647371084065762,0.402250687172341,,,,,,5.0,0.43
A,Swiss roll (Low),UMAP,HDBSCAN,dbcv,Random,-0.4963396488157769,0.0726061672127416,0.5689458160285186,114.628323041686,"{""umap_n_neighbors"": 33, ""umap_min_dist"": 0.06974693032602092, ""n_components"": 2, ""hclust_min_cluster_size"": 19, ""hclust_min_samples"": 12}",True,0.44379639367287965,0.3533485887846214,,,,,,12.0,0.194
A,Swiss roll (Low),UMAP,DBSCAN,dbcv,TPE,-0.2574013215623216,-0.44932110858313773,-0.19191978702081613,-74.5605290042572,"{""umap_n_neighbors"": 5, ""umap_min_dist"": 0.48495492608099716, ""n_components"": 3, ""dbscan_eps"": 1.1404616423235532, ""hclust_min_samples"": 6}",True,-0.09492910516751892,-0.11745468662145186,,,,,,5.0,0.006
A,Swiss roll (Low),UMAP,DBSCAN,dbcv,Random,-0.2574013215623216,-0.3611631045440775,-0.10376178298175592,-40.31128603068702,"{""umap_n_neighbors"": 5, ""umap_min_dist"": 0.48495492608099716, ""n_components"": 3, ""dbscan_eps"": 1.1404616423235532, ""hclust_min_samples"": 6}",True,0.03654104420540497,0.038362571882319625,,,,,,6.0,0.014
A,Swiss roll (Low),UMAP,KMeans,dbcv,TPE,-0.35607730370597973,-0.16807140181241398,0.18800590189356575,52.79918150829575,"{""umap_n_neighbors"": 7, ""umap_min_dist"": 0.4744427686266666, ""n_components"": 3, ""cluster_n_clusters"": 13}",True,-0.2045427361522877,0.272316787951224,,,,,,13.0,0.0
A,Swiss roll (Low),UMAP,KMeans,dbcv,Random,-0.35607730370597973,-0.15073834054424062,0.2053389631617391,57.66696192782106,"{""umap_n_neighbors"": 12, ""umap_min_dist"": 0.07799726016810132, ""n_components"": 2, ""cluster_n_clusters"": 14}",True,0.23214256570253455,0.28485456136331394,,,,,,14.0,0.0
A,Swiss roll (Low),UMAP,GMM,dbcv,TPE,-0.4196574888827428,-0.066822675039142,0.3528348138436008,84.07685390839933,"{""umap_n_neighbors"": 12, ""umap_min_dist"": 0.07799726016810132, ""n_components"": 2, ""gmm_n_components"": 14}",True,0.22738454730352983,0.2581418867383928,,,,,,14.0,0.0
A,Swiss roll (Low),UMAP,GMM,dbcv,Random,-0.4196574888827428,-0.19413246952368376,0.22552501935905903,53.74025850449516,"{""umap_n_neighbors"": 7, ""umap_min_dist"": 0.4744427686266666, ""n_components"": 3, ""gmm_n_components"": 13}",True,-0.21961847837168266,0.2237754814393311,,,,,,13.0,0.0
A,Swiss roll (Low),t-SNE,HDBSCAN,dbcv,TPE,-0.04547665521878264,0.11900654754441382,0.16448320276319647,361.6871161080072,"{""tsne_perplexity"": 25.523149289766618, ""tsne_learning_rate"": 787.3242017790834, ""hclust_min_cluster_size"": 11, ""hclust_min_samples"": 13}",True,0.41689875273513666,0.36674068322275827,,,,,,11.0,0.204
A,Swiss roll (Low),t-SNE,HDBSCAN,dbcv,Random,-0.04547665521878264,0.11900654754441382,0.16448320276319647,361.6871161080072,"{""tsne_perplexity"": 25.523149289766618, ""tsne_learning_rate"": 787.3242017790834, ""hclust_min_cluster_size"": 11, ""hclust_min_samples"": 13}",True,0.41689875273513666,0.36674068322275827,,,,,,11.0,0.204
A,Swiss roll (Low),t-SNE,DBSCAN,dbcv,TPE,-1.0,0.1947958298074681,1.1947958298074681,119.47958298074681,"{""tsne_perplexity"": 18.690900933179197, ""tsne_learning_rate"": 529.5088673159155, ""dbscan_eps"": 2.2165305913463675, ""hclust_min_samples"": 8}",True,0.3469087574369678,0.5231746239213086,,,,,,18.0,0.484
A,Swiss roll (Low),t-SNE,DBSCAN,dbcv,Random,-1.0,0.1947958298074681,1.1947958298074681,119.47958298074681,"{""tsne_perplexity"": 18.690900933179197, ""tsne_learning_rate"": 529.5088673159155, ""dbscan_eps"": 2.2165305913463675, ""hclust_min_samples"": 8}",True,0.3469087574369678,0.5231746239213086,,,,,,18.0,0.484
A,Swiss roll (Low),t-SNE,KMeans,dbcv,TPE,-0.5004584389532623,-0.1753072682136933,0.32515117073956895,64.97066398153689,"{""tsne_perplexity"": 36.863266000822044, ""tsne_learning_rate"": 30.378649352844423, ""cluster_n_clusters"": 15}",True,-0.09921728864069483,0.28214119642842106,,,,,,15.0,0.0
