track,dataset,dr_method,cluster_method,objective,sampler,trial,value,best_so_far
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,1,-0.37147481295148493,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,2,-0.4324825130972446,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,3,-0.5826694038026767,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,4,-0.47579981951374717,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,5,-0.5121285359676356,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,6,-0.48149822597422637,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,7,-0.5872607364843441,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,8,-0.3929438623437712,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,TPE,9,-0.5025146570925506,-0.37147481295148493
A,Wine quality (Low),UMAP,GMM,dbcv,Random,0,-0.4330459784266512,-0.4330459784266512
A,Wine quality (Low),UMAP,GMM,dbcv,Random,1,-0.33957627467713886,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,2,-0.4075104997971101,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,3,-0.625758058248312,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,4,-0.5081987009475901,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,5,-0.48942518950887154,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,6,-0.4047017119706529,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,7,-0.5602584364852806,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,8,-0.36945033156745516,-0.33957627467713886
A,Wine quality (Low),UMAP,GMM,dbcv,Random,9,-0.4388225939891185,-0.33957627467713886
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,0,-0.35523889849156765,-0.35523889849156765
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,1,-0.3372131850851134,-0.3372131850851134
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,2,-0.20818812998874353,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,3,-0.28416649428791313,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,4,-0.39545474547602194,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,5,-0.47260444767059484,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,6,-0.47666591011118664,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,7,-0.32176777603445805,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,8,-0.36094259065701856,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,9,-0.47260444767059484,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,0,-0.35523889849156765,-0.35523889849156765
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,1,-0.3372131850851134,-0.3372131850851134
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,2,-0.20818812998874353,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,3,-0.28416649428791313,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,4,-0.39545474547602194,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,5,-0.47260444767059484,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,6,-0.47666591011118664,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,7,-0.32176777603445805,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,8,-0.36094259065701856,-0.20818812998874353
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,9,-0.47260444767059484,-0.20818812998874353
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,0,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,1,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,2,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,3,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,4,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,5,-1.0,-1.0
