rho,nesting,metric,n_seeds,n_pairs,n_oracle,hier_mean,flat_mean,median_delta,win_rate,wilcoxon_p,rank_biserial,oracle_relative
1,nested,within_g_ari,20,20,20,0.699594083086751,0.5861937788241086,0.11315275022294063,0.65,0.01531219482421875,0.3,0.954084298605223
1,non_nested,within_g_ari,20,20,20,0.8815407905546655,0.9246577519644867,-0.0633629340010306,0.25,0.01923370361328125,-0.5,1.202217467502435
2,nested,within_g_ari,20,20,20,0.6542326170842582,0.5228412842008577,0.10913082426181865,0.6,0.03276824951171875,0.2,0.892221765000395
4,nested,within_g_ari,20,20,20,0.5779933375066993,0.4424975916149315,0.10433054006889314,0.75,0.01068878173828125,0.5,0.7882490451898088
8,nested,within_g_ari,20,20,20,0.4864280115791069,0.3359353304411695,0.12669713376064604,0.8,0.00485992431640625,0.6,0.6633751477738514
16,nested,within_g_ari,20,20,20,0.43884416808544763,0.28850908741888615,0.17048093500232764,0.7,0.0042209625244140625,0.4,0.5984818059887422
32,nested,within_g_ari,20,20,20,0.41297228306966094,0.28382501868980553,0.13907319312779826,0.75,0.005580902099609375,0.5,0.5631985469309023
