rho,nesting,seed,region,local,global
32,nested,6,2,0.39791666666666664,0.376875
32,nested,7,0,0.514375,0.5089583333333333
32,nested,7,1,0.5333333333333333,0.5220833333333333
32,nested,7,2,0.576875,0.56125
32,nested,8,0,0.7616666666666667,0.7541666666666667
32,nested,8,1,0.691875,0.6925
32,nested,8,2,0.6916666666666667,0.6808333333333333
32,nested,9,0,0.7352083333333334,0.7308333333333333
32,nested,9,1,0.7525,0.7666666666666667
32,nested,9,2,0.704375,0.7016666666666667
32,nested,10,0,0.5125,0.5235416666666667
32,nested,10,1,0.5310416666666666,0.5110416666666666
32,nested,10,2,0.538125,0.5583333333333333
32,nested,11,0,0.6454166666666666,0.631875
32,nested,11,1,0.5972916666666667,0.579375
32,nested,11,2,0.7497916666666666,0.7516666666666667
32,nested,12,0,0.751875,0.751875
32,nested,12,1,0.6602083333333333,0.6683333333333333
32,nested,12,2,0.6925,0.680625
32,nested,13,0,0.7077083333333334,0.695625
32,nested,13,1,0.6839583333333333,0.6745833333333333
32,nested,13,2,0.7297916666666666,0.72875
32,nested,14,0,0.6277083333333333,0.6235416666666667
32,nested,14,1,0.59625,0.5745833333333333
32,nested,14,2,0.6175,0.5804166666666667
32,nested,15,0,0.44666666666666666,0.44854166666666667
32,nested,15,1,0.4864583333333333,0.463125
32,nested,15,2,0.5472916666666666,0.5489583333333333
32,nested,16,0,0.9602083333333333,0.9602083333333333
32,nested,16,1,0.9827083333333333,0.9816666666666667
32,nested,16,2,0.8977083333333333,0.9016666666666666
32,nested,17,0,0.6352083333333334,0.6179166666666667
32,nested,17,1,0.6639583333333333,0.6302083333333334
32,nested,17,2,0.6122916666666667,0.6141666666666666
32,nested,18,0,0.8310416666666667,0.8314583333333333
32,nested,18,1,0.7783333333333333,0.7666666666666667
32,nested,18,2,0.9241666666666667,0.9277083333333334
32,nested,19,0,0.7545833333333334,0.75375
32,nested,19,1,0.7754166666666666,0.78125
32,nested,19,2,0.7716666666666666,0.7639583333333333
32,non_nested,0,0,1.0,1.0
32,non_nested,0,1,0.808125,0.7910416666666666
32,non_nested,0,2,1.0,1.0
32,non_nested,1,0,1.0,1.0
32,non_nested,1,1,1.0,1.0
32,non_nested,1,2,1.0,1.0
32,non_nested,2,0,1.0,1.0
32,non_nested,2,1,0.976875,0.985625
32,non_nested,2,2,1.0,1.0
32,non_nested,3,0,1.0,1.0
32,non_nested,3,1,1.0,1.0
32,non_nested,3,2,1.0,1.0
32,non_nested,4,0,1.0,1.0
32,non_nested,4,1,1.0,1.0
32,non_nested,4,2,1.0,1.0
32,non_nested,5,0,1.0,1.0
32,non_nested,5,1,1.0,1.0
32,non_nested,5,2,1.0,1.0
32,non_nested,6,0,1.0,1.0
32,non_nested,6,1,0.9570833333333333,0.97375
32,non_nested,6,2,1.0,1.0
32,non_nested,7,0,1.0,1.0
32,non_nested,7,1,1.0,1.0
32,non_nested,7,2,0.9979166666666667,0.9995833333333334
32,non_nested,8,0,1.0,1.0
32,non_nested,8,1,1.0,1.0
32,non_nested,8,2,1.0,1.0
32,non_nested,9,0,1.0,1.0
32,non_nested,9,1,1.0,1.0
32,non_nested,9,2,1.0,1.0
32,non_nested,10,0,0.8089583333333333,0.8264583333333333
32,non_nested,10,1,0.9885416666666667,0.9908333333333333
32,non_nested,10,2,0.8341666666666666,0.8410416666666667
32,non_nested,11,0,1.0,1.0
32,non_nested,11,1,1.0,1.0
32,non_nested,11,2,1.0,1.0
32,non_nested,12,0,1.0,1.0
32,non_nested,12,1,1.0,1.0
32,non_nested,12,2,1.0,1.0
32,non_nested,13,0,1.0,1.0
32,non_nested,13,1,0.995,0.9945833333333334
32,non_nested,13,2,1.0,1.0
32,non_nested,14,0,1.0,1.0
32,non_nested,14,1,1.0,1.0
32,non_nested,14,2,0.998125,0.9960416666666667
32,non_nested,15,0,0.7766666666666666,0.758125
32,non_nested,15,1,1.0,1.0
32,non_nested,15,2,0.9554166666666667,0.9689583333333334
32,non_nested,16,0,1.0,1.0
32,non_nested,16,1,1.0,1.0
32,non_nested,16,2,1.0,1.0
32,non_nested,17,0,0.8191666666666667,0.828125
32,non_nested,17,1,0.9752083333333333,0.9822916666666667
32,non_nested,17,2,0.8454166666666667,0.7829166666666667
32,non_nested,18,0,1.0,1.0
32,non_nested,18,1,1.0,1.0
32,non_nested,18,2,1.0,1.0
32,non_nested,19,0,1.0,1.0
32,non_nested,19,1,1.0,1.0
32,non_nested,19,2,0.9977083333333333,0.9985416666666667
