rho,nesting,seed,region,local,global
2,nested,1,2,1.0,1.0
2,nested,2,0,0.7022916666666666,0.708125
2,nested,2,1,0.7054166666666667,0.6864583333333333
2,nested,2,2,0.724375,0.711875
2,nested,3,0,0.8502083333333333,0.8579166666666667
2,nested,3,1,0.79875,0.793125
2,nested,3,2,0.845625,0.84625
2,nested,4,0,0.9591666666666666,0.9539583333333334
2,nested,4,1,0.9491666666666667,0.9516666666666667
2,nested,4,2,0.9704166666666667,0.9677083333333333
2,nested,5,0,0.6308333333333334,0.621875
2,nested,5,1,0.6204166666666666,0.6175
2,nested,5,2,0.6577083333333333,0.6566666666666666
2,nested,6,0,0.7570833333333333,0.7422916666666667
2,nested,6,1,0.7425,0.7489583333333333
2,nested,6,2,0.7614583333333333,0.7454166666666666
2,nested,7,0,0.553125,0.55875
2,nested,7,1,0.68,0.681875
2,nested,7,2,0.6035416666666666,0.6533333333333333
2,nested,8,0,0.95375,0.9570833333333333
2,nested,8,1,0.9470833333333334,0.9454166666666667
2,nested,8,2,0.9664583333333333,0.9802083333333333
2,nested,9,0,0.7575,0.749375
2,nested,9,1,0.80375,0.800625
2,nested,9,2,0.815,0.8208333333333333
2,nested,10,0,0.45729166666666665,0.48604166666666665
2,nested,10,1,0.6116666666666667,0.5804166666666667
2,nested,10,2,0.5277083333333333,0.5397916666666667
2,nested,11,0,0.7879166666666667,0.8010416666666667
2,nested,11,1,0.8416666666666667,0.8258333333333333
2,nested,11,2,0.8208333333333333,0.8239583333333333
2,nested,12,0,0.9591666666666666,0.9689583333333334
2,nested,12,1,0.9058333333333334,0.913125
2,nested,12,2,0.9722916666666667,0.9716666666666667
2,nested,13,0,0.7435416666666667,0.7745833333333333
2,nested,13,1,0.7435416666666667,0.7527083333333333
2,nested,13,2,0.7720833333333333,0.7958333333333333
2,nested,14,0,0.7791666666666667,0.795625
2,nested,14,1,0.7245833333333334,0.7529166666666667
2,nested,14,2,0.7929166666666667,0.803125
2,nested,15,0,0.5439583333333333,0.548125
2,nested,15,1,0.561875,0.583125
2,nested,15,2,0.5477083333333334,0.5491666666666667
2,nested,16,0,1.0,0.9989583333333333
2,nested,16,1,0.996875,0.9970833333333333
2,nested,16,2,0.9752083333333333,0.9754166666666667
2,nested,17,0,0.7516666666666667,0.7514583333333333
2,nested,17,1,0.7391666666666666,0.7502083333333334
2,nested,17,2,0.7247916666666666,0.7327083333333333
2,nested,18,0,0.9735416666666666,0.97375
2,nested,18,1,1.0,0.9995833333333334
2,nested,18,2,0.9985416666666667,0.999375
2,nested,19,0,0.804375,0.7760416666666666
2,nested,19,1,0.843125,0.7885416666666667
2,nested,19,2,0.785,0.7904166666666667
2,non_nested,0,0,1.0,1.0
2,non_nested,0,1,0.821875,0.8279166666666666
2,non_nested,0,2,1.0,1.0
2,non_nested,1,0,1.0,1.0
2,non_nested,1,1,1.0,1.0
2,non_nested,1,2,1.0,1.0
2,non_nested,2,0,0.9997916666666666,1.0
2,non_nested,2,1,0.9797916666666666,0.9839583333333334
2,non_nested,2,2,1.0,1.0
2,non_nested,3,0,1.0,1.0
2,non_nested,3,1,1.0,1.0
2,non_nested,3,2,1.0,1.0
2,non_nested,4,0,1.0,1.0
2,non_nested,4,1,1.0,1.0
2,non_nested,4,2,1.0,1.0
2,non_nested,5,0,1.0,1.0
2,non_nested,5,1,1.0,1.0
2,non_nested,5,2,1.0,1.0
2,non_nested,6,0,1.0,1.0
2,non_nested,6,1,0.9641666666666666,0.9625
2,non_nested,6,2,1.0,1.0
2,non_nested,7,0,1.0,1.0
2,non_nested,7,1,1.0,1.0
2,non_nested,7,2,0.9989583333333333,0.999375
2,non_nested,8,0,1.0,1.0
2,non_nested,8,1,1.0,1.0
2,non_nested,8,2,1.0,1.0
2,non_nested,9,0,1.0,1.0
2,non_nested,9,1,1.0,1.0
2,non_nested,9,2,1.0,1.0
2,non_nested,10,0,0.7989583333333333,0.8260416666666667
2,non_nested,10,1,0.9883333333333333,0.9879166666666667
2,non_nested,10,2,0.8352083333333333,0.8235416666666666
2,non_nested,11,0,1.0,1.0
2,non_nested,11,1,1.0,1.0
2,non_nested,11,2,1.0,1.0
2,non_nested,12,0,1.0,1.0
2,non_nested,12,1,1.0,1.0
2,non_nested,12,2,1.0,1.0
2,non_nested,13,0,1.0,1.0
2,non_nested,13,1,0.994375,0.9954166666666666
2,non_nested,13,2,1.0,1.0
2,non_nested,14,0,1.0,1.0
2,non_nested,14,1,1.0,1.0
2,non_nested,14,2,0.9929166666666667,0.9954166666666666
2,non_nested,15,0,0.7645833333333333,0.76875
2,non_nested,15,1,1.0,1.0
2,non_nested,15,2,0.95125,0.9572916666666667
2,non_nested,16,0,1.0,0.9964583333333333
2,non_nested,16,1,1.0,1.0
2,non_nested,16,2,1.0,1.0
2,non_nested,17,0,0.8385416666666666,0.83
2,non_nested,17,1,0.9770833333333333,0.9835416666666666
2,non_nested,17,2,0.8297916666666667,0.789375
2,non_nested,18,0,1.0,1.0
2,non_nested,18,1,1.0,1.0
2,non_nested,18,2,1.0,1.0
2,non_nested,19,0,1.0,1.0
2,non_nested,19,1,1.0,1.0
2,non_nested,19,2,0.99875,0.9991666666666666
4,nested,0,0,0.7385416666666667,0.741875
4,nested,0,1,0.6975,0.6685416666666667
4,nested,0,2,0.76125,0.7722916666666667
4,nested,1,0,1.0,1.0
4,nested,1,1,1.0,1.0
4,nested,1,2,1.0,1.0
4,nested,2,0,0.5879166666666666,0.6052083333333333
4,nested,2,1,0.6085416666666666,0.6241666666666666
4,nested,2,2,0.5822916666666667,0.5675
4,nested,3,0,0.7135416666666666,0.70375
4,nested,3,1,0.7360416666666667,0.7002083333333333
4,nested,3,2,0.7375,0.720625
4,nested,4,0,0.9020833333333333,0.906875
4,nested,4,1,0.895,0.915
4,nested,4,2,0.9304166666666667,0.93
4,nested,5,0,0.570625,0.545
4,nested,5,1,0.5958333333333333,0.5470833333333334
4,nested,5,2,0.6025,0.5891666666666666
4,nested,6,0,0.7191666666666666,0.72625
4,nested,6,1,0.7214583333333333,0.7152083333333333
4,nested,6,2,0.72,0.731875
4,nested,7,0,0.5335416666666667,0.5197916666666667
4,nested,7,1,0.61875,0.603125
4,nested,7,2,0.63875,0.620625
4,nested,8,0,0.9275,0.928125
4,nested,8,1,0.8822916666666667,0.9072916666666667
4,nested,8,2,0.9266666666666666,0.9216666666666666
4,nested,9,0,0.7570833333333333,0.7697916666666667
4,nested,9,1,0.8041666666666667,0.803125
4,nested,9,2,0.756875,0.7254166666666667
4,nested,10,0,0.47854166666666664,0.5172916666666667
4,nested,10,1,0.5295833333333333,0.5325
4,nested,10,2,0.5245833333333333,0.5341666666666667
4,nested,11,0,0.7079166666666666,0.7202083333333333
4,nested,11,1,0.7733333333333333,0.7552083333333334
4,nested,11,2,0.773125,0.7783333333333333
4,nested,12,0,0.9404166666666667,0.9570833333333333
4,nested,12,1,0.7833333333333333,0.8435416666666666
4,nested,12,2,0.8735416666666667,0.8883333333333333
4,nested,13,0,0.7583333333333333,0.7641666666666667
4,nested,13,1,0.7385416666666667,0.7404166666666666
4,nested,13,2,0.7589583333333333,0.765
4,nested,14,0,0.74125,0.7810416666666666
4,nested,14,1,0.7045833333333333,0.7227083333333333
4,nested,14,2,0.7464583333333333,0.725
4,nested,15,0,0.5197916666666667,0.5339583333333333
4,nested,15,1,0.55,0.5741666666666667
4,nested,15,2,0.5404166666666667,0.55125
4,nested,16,0,0.9985416666666667,0.9995833333333334
4,nested,16,1,0.995625,0.9970833333333333
4,nested,16,2,0.9435416666666666,0.9360416666666667
4,nested,17,0,0.745,0.7560416666666666
4,nested,17,1,0.7116666666666667,0.7033333333333334
4,nested,17,2,0.7133333333333334,0.718125
4,nested,18,0,0.9377083333333334,0.9279166666666666
4,nested,18,1,0.974375,0.96375
4,nested,18,2,0.99375,0.993125
4,nested,19,0,0.7847916666666667,0.7733333333333333
4,nested,19,1,0.7814583333333334,0.803125
4,nested,19,2,0.7835416666666667,0.7695833333333333
4,non_nested,0,0,1.0,1.0
4,non_nested,0,1,0.8283333333333334,0.8522916666666667
4,non_nested,0,2,1.0,1.0
4,non_nested,1,0,1.0,1.0
4,non_nested,1,1,1.0,1.0
4,non_nested,1,2,1.0,1.0
4,non_nested,2,0,1.0,0.9989583333333333
4,non_nested,2,1,0.9816666666666667,0.9904166666666666
4,non_nested,2,2,1.0,1.0
4,non_nested,3,0,1.0,1.0
4,non_nested,3,1,1.0,1.0
4,non_nested,3,2,1.0,1.0
4,non_nested,4,0,1.0,1.0
4,non_nested,4,1,1.0,1.0
4,non_nested,4,2,1.0,1.0
4,non_nested,5,0,1.0,1.0
4,non_nested,5,1,1.0,1.0
4,non_nested,5,2,1.0,1.0
4,non_nested,6,0,1.0,1.0
4,non_nested,6,1,0.9679166666666666,0.969375
4,non_nested,6,2,1.0,1.0
4,non_nested,7,0,1.0,1.0
4,non_nested,7,1,1.0,1.0
4,non_nested,7,2,0.9991666666666666,0.998125
4,non_nested,8,0,1.0,1.0
4,non_nested,8,1,1.0,1.0
4,non_nested,8,2,1.0,1.0
4,non_nested,9,0,1.0,1.0
4,non_nested,9,1,1.0,1.0
4,non_nested,9,2,1.0,1.0
4,non_nested,10,0,0.81375,0.8272916666666666
4,non_nested,10,1,0.98875,0.98875
4,non_nested,10,2,0.8358333333333333,0.82875
4,non_nested,11,0,1.0,1.0
4,non_nested,11,1,1.0,1.0
4,non_nested,11,2,1.0,1.0
4,non_nested,12,0,1.0,1.0
4,non_nested,12,1,1.0,0.9947916666666666
4,non_nested,12,2,1.0,1.0
4,non_nested,13,0,1.0,1.0
4,non_nested,13,1,0.9935416666666667,0.995
4,non_nested,13,2,1.0,1.0
4,non_nested,14,0,1.0,1.0
4,non_nested,14,1,1.0,1.0
4,non_nested,14,2,0.996875,0.9941666666666666
4,non_nested,15,0,0.7591666666666667,0.7585416666666667
4,non_nested,15,1,1.0,1.0
4,non_nested,15,2,0.958125,0.9583333333333334
4,non_nested,16,0,1.0,0.9991666666666666
4,non_nested,16,1,1.0,1.0
4,non_nested,16,2,1.0,1.0
4,non_nested,17,0,0.8329166666666666,0.8170833333333334
4,non_nested,17,1,0.96875,0.985625
4,non_nested,17,2,0.8379166666666666,0.8054166666666667
4,non_nested,18,0,1.0,1.0
4,non_nested,18,1,1.0,1.0
4,non_nested,18,2,1.0,1.0
4,non_nested,19,0,1.0,1.0
4,non_nested,19,1,1.0,1.0
4,non_nested,19,2,0.9995833333333334,0.9991666666666666
8,nested,0,0,0.6835416666666667,0.6666666666666666
8,nested,0,1,0.533125,0.5302083333333333
8,nested,0,2,0.6789583333333333,0.684375
8,nested,1,0,0.9995833333333334,1.0
8,nested,1,1,1.0,1.0
8,nested,1,2,1.0,1.0
8,nested,2,0,0.5454166666666667,0.5422916666666666
8,nested,2,1,0.5704166666666667,0.5541666666666667
8,nested,2,2,0.4739583333333333,0.4664583333333333
8,nested,3,0,0.65125,0.6429166666666667
8,nested,3,1,0.611875,0.610625
8,nested,3,2,0.5625,0.55375
8,nested,4,0,0.7716666666666666,0.785625
8,nested,4,1,0.8564583333333333,0.8541666666666666
8,nested,4,2,0.8327083333333334,0.848125
8,nested,5,0,0.5529166666666666,0.5397916666666667
8,nested,5,1,0.5425,0.5495833333333333
8,nested,5,2,0.5725,0.578125
8,nested,6,0,0.6733333333333333,0.6745833333333333
8,nested,6,1,0.63875,0.629375
8,nested,6,2,0.5558333333333333,0.5652083333333333
8,nested,7,0,0.5333333333333333,0.5064583333333333
8,nested,7,1,0.5425,0.5475
8,nested,7,2,0.6089583333333334,0.5970833333333333
8,nested,8,0,0.8779166666666667,0.8877083333333333
8,nested,8,1,0.800625,0.8010416666666667
8,nested,8,2,0.79375,0.7889583333333333
8,nested,9,0,0.745,0.7397916666666666
8,nested,9,1,0.7675,0.7766666666666666
8,nested,9,2,0.676875,0.7016666666666667
8,nested,10,0,0.48354166666666665,0.50125
8,nested,10,1,0.546875,0.5404166666666667
8,nested,10,2,0.5347916666666667,0.5260416666666666
