dataset,method,seed,layers,region,region_def,cond,n,k,trustworthiness,continuity,mrre_false,mrre_missing,stress
Swiss roll (Low),PCA,0,2,leaf2,hier_leaf,flat,22,10,1.0,1.0,0.9879043528792614,0.9879443378601409,0.01706035308198568
Swiss roll (Low),PCA,0,2,leaf3,hier_leaf,hier,20,9,0.9981481481481481,0.999074074074074,0.9952112622066336,0.9953837602660304,0.010236878915971071
Swiss roll (Low),PCA,0,2,leaf3,hier_leaf,flat,20,9,0.9935185185185185,0.9916666666666666,0.9778699364632149,0.9768349481068338,0.07169662596078955
Swiss roll (Low),PCA,0,2,leaf4,hier_leaf,hier,49,20,0.9996138996138996,0.9996690568119139,0.9967557328319836,0.9967871033053359,0.007957067111344241
Swiss roll (Low),PCA,0,2,leaf4,hier_leaf,flat,49,20,0.9494208494208495,0.9665195808052951,0.8872201386885465,0.9168024410266944,0.2247438844423753
Swiss roll (Low),PCA,0,2,leaf5,hier_leaf,hier,17,8,0.9983660130718954,0.9983660130718954,0.9888198282133421,0.9879859950055092,0.030360660016834667
Swiss roll (Low),PCA,0,2,leaf5,hier_leaf,flat,17,8,0.9983660130718954,0.9983660130718954,0.9852930540842938,0.9857525131988139,0.059819945002690424
Swiss roll (Low),PCA,0,2,leaf6,hier_leaf,hier,17,8,0.9967320261437908,0.9967320261437908,0.9948736274722516,0.995128882535874,0.005470424558179784
Swiss roll (Low),PCA,0,2,leaf6,hier_leaf,flat,17,8,0.980392156862745,0.9820261437908496,0.9806729374327297,0.9824767398823274,0.06407432792489234
Swiss roll (Low),PCA,0,2,leaf7,hier_leaf,hier,35,17,0.9998132586367879,0.9998132586367879,0.9979158212502465,0.9979394881201722,0.009760961833830175
Swiss roll (Low),PCA,0,2,leaf7,hier_leaf,flat,35,17,0.8720821661998132,0.9284780578898225,0.7896983832257121,0.8727152850627798,0.337994357643775
Swiss roll (Low),PCA,0,2,leaf8,hier_leaf,hier,26,12,0.9982905982905983,0.9991452991452991,0.9968091270204302,0.9969367684377215,0.008553754309475746
Swiss roll (Low),PCA,0,2,leaf8,hier_leaf,flat,26,12,0.9927350427350426,0.9923076923076923,0.9838667050426391,0.9838809544663147,0.041533609534695946
Swiss roll (Low),PCA,0,2,leaf9,hier_leaf,hier,25,12,0.9964102564102564,0.9964102564102564,0.9916891220200781,0.9920116644794706,0.027390411333160322
Swiss roll (Low),PCA,0,2,leaf9,hier_leaf,flat,25,12,0.7974358974358975,0.8143589743589743,0.7762185651570135,0.8519410717217837,0.5325907436734721
Swiss roll (Low),PCA,0,2,leaf10,hier_leaf,hier,32,15,1.0,1.0,0.9988241810472698,0.9988280805915534,0.0031782445718494595
Swiss roll (Low),PCA,0,2,leaf10,hier_leaf,flat,32,15,0.9155092592592592,0.9530092592592593,0.9115013510333856,0.9260994450417274,0.24549755646254615
Swiss roll (Low),PCA,0,2,leaf11,hier_leaf,hier,22,10,0.9986013986013986,0.9993006993006993,0.9923628686520035,0.9923217412430989,0.01710275211292625
Swiss roll (Low),PCA,0,2,leaf11,hier_leaf,flat,22,10,0.841958041958042,0.876923076923077,0.8747605661263997,0.8863447863012216,0.3759705680392451
Swiss roll (Low),PCA,0,2,leaf12,hier_leaf,hier,26,12,1.0,1.0,0.9959587566909052,0.9961195848766923,0.012862138161060578
Swiss roll (Low),PCA,0,2,leaf12,hier_leaf,flat,26,12,1.0,1.0,0.9946684876223332,0.9948806508654019,0.01570545385399767
Swiss roll (Low),PCA,0,2,leaf13,hier_leaf,hier,31,15,0.999731182795699,0.999731182795699,0.9953010397396297,0.9953305266309199,0.014495703418723131
Swiss roll (Low),PCA,0,2,leaf13,hier_leaf,flat,31,15,0.9946236559139786,0.9951612903225807,0.9889779610121703,0.9893309095245778,0.057247422791502675
Swiss roll (Low),PCA,0,2,leaf14,hier_leaf,hier,18,8,1.0,1.0,0.9949969008992959,0.9949969008992959,0.007430962814591993
Swiss roll (Low),PCA,0,2,leaf14,hier_leaf,flat,18,8,0.9002525252525252,0.9166666666666666,0.9135388018542644,0.9189742904543987,0.30724316814325103
Swiss roll (Low),PCA,0,2,leaf15,hier_leaf,hier,31,15,0.9991935483870968,0.9991935483870968,0.9954317643701777,0.9954393149883659,0.015853116329393225
Swiss roll (Low),PCA,0,2,leaf15,hier_leaf,flat,31,15,0.9032258064516129,0.9220430107526881,0.8804084328424753,0.8976642932266992,0.35099724052117137
Swiss roll (Low),PCA,0,2,leaf16,hier_leaf,hier,15,7,1.0,1.0,0.996887271887272,0.996887271887272,0.0072003316825287236
Swiss roll (Low),PCA,0,2,leaf16,hier_leaf,flat,15,7,0.9690476190476189,0.9833333333333332,0.9395530145530145,0.9435088935088934,0.15321227244810448
