dataset,method,region_def,metric,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,primary
Breast cancer (Low),MDS,gt_class,trustworthiness,4,0.02170755418320991,1.0,0.125,1.0,True
Breast cancer (Low),MDS,gt_class,continuity,4,0.014649350691668062,1.0,0.125,1.0,True
Breast cancer (Low),MDS,gt_class,mrre_false,4,0.020568227380236004,1.0,0.125,1.0,False
Breast cancer (Low),MDS,gt_class,mrre_missing,4,0.009067277099857718,1.0,0.125,1.0,False
Breast cancer (Low),MDS,gt_class,stress,4,-0.040584917794819125,1.0,0.125,1.0,False
Breast cancer (Low),MDS,hier_leaf,trustworthiness,11,0.07863247863247824,1.0,0.0009765625,1.0,True
Breast cancer (Low),MDS,hier_leaf,continuity,11,0.06895424836601294,1.0,0.0009765625,1.0,True
Breast cancer (Low),MDS,hier_leaf,mrre_false,11,0.09424737650208947,1.0,0.0009765625,1.0,False
Breast cancer (Low),MDS,hier_leaf,mrre_missing,11,0.06540608200920472,1.0,0.0009765625,1.0,False
Breast cancer (Low),MDS,hier_leaf,stress,11,-0.13893936505981602,1.0,0.0009765625,1.0,False
Breast cancer (Low),PCA,gt_class,trustworthiness,4,0.01962004566838932,1.0,0.125,1.0,True
Breast cancer (Low),PCA,gt_class,continuity,4,0.014436811436999375,1.0,0.125,1.0,True
Breast cancer (Low),PCA,gt_class,mrre_false,4,0.012552800830798239,1.0,0.125,1.0,False
Breast cancer (Low),PCA,gt_class,mrre_missing,4,0.009429686066074083,1.0,0.125,1.0,False
Breast cancer (Low),PCA,gt_class,stress,4,-0.05348856649187675,1.0,0.125,1.0,False
Breast cancer (Low),PCA,hier_leaf,trustworthiness,10,0.07135414766993708,0.8,0.009765625,0.6,True
Breast cancer (Low),PCA,hier_leaf,continuity,10,0.054364608431929695,0.8,0.009765625,0.6,True
Breast cancer (Low),PCA,hier_leaf,mrre_false,10,0.07149286048554043,0.8,0.009765625,0.6,False
Breast cancer (Low),PCA,hier_leaf,mrre_missing,10,0.044327454264009136,0.8,0.009765625,0.6,False
Breast cancer (Low),PCA,hier_leaf,stress,10,-0.1553357472511345,1.0,0.001953125,1.0,False
