track,dataset,dr_method,cluster_method,objective,sampler,trial,value,best_so_far
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,0,-0.20288585299616546,-0.20288585299616546
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,1,-0.3600100122296017,-0.20288585299616546
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,2,-0.17642509017942568,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,3,-0.3600100122296017,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,4,-0.3593157854994606,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,5,-0.4741292228893662,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,6,-0.4717638579575182,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,7,-0.4717638579575182,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,8,-0.3411427173908317,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,9,-0.3413417047071755,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,10,-0.3935855594386845,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,11,-0.2689327744659486,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,12,-0.205031428175931,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,13,-0.19519018272967587,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,14,-0.2839409918130051,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,15,-0.3400439480936017,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,16,-0.310476358560799,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,17,-0.42355774660897144,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,18,-0.3390843463352816,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,19,-0.4070463114693395,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,20,-0.3104321875417619,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,21,-0.23387274958629078,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,22,-0.22079528835631712,-0.17642509017942568
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,23,-0.17419724956568855,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,24,-0.3356488709046818,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,25,-0.4355441967285119,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,26,-0.3403216696731999,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,27,-0.4175573078069019,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,28,-0.3514664294191464,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,29,-0.2419752124833741,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,30,-0.2938840350701477,-0.17419724956568855
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,31,-0.15406457330058596,-0.15406457330058596
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,32,-0.21076868924256276,-0.15406457330058596
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,33,-0.2552037688190629,-0.15406457330058596
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,34,-0.2505364703727427,-0.15406457330058596
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,35,-0.19430522581582282,-0.15406457330058596
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,36,-0.11716366259247576,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,37,-0.3600100122296017,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,38,-0.12176003018419994,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,39,-0.14826427939912945,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,40,-0.1773802465229688,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,41,-0.2577131096954878,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,42,-0.26813083508946567,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,43,-0.21953634287671703,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,44,-0.22265821898293964,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,45,-0.19179117094094691,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,46,-0.22543557875335257,-0.11716366259247576
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,47,-0.09069927956887057,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,48,-0.20339546597499694,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,49,-0.338945335521327,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,50,-0.39092735787163213,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,51,-0.2854278768492986,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,52,-0.3290550928003486,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,53,-0.35018139618512645,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,54,-0.2562889851098235,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,55,-0.3242499497429383,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,56,-0.18456102846232308,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,57,-0.2496252151155606,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,58,-0.47092042534434364,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,59,-0.2138146317473638,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,60,-0.3600100122296017,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,61,-0.2616459076035728,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,62,-0.09566964992462268,-0.09069927956887057
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,63,-0.0844092838484933,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,64,-0.4807597009583208,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,65,-0.33441118647108425,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,66,-0.5675229618996291,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,67,-0.3979267903668485,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,68,-0.1851503551458674,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,69,-0.4616612747193632,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,70,-0.3360727578117162,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,71,-0.398236311651607,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,72,-0.31152850827005607,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,73,-0.23514534508539778,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,74,-0.15618059948736235,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,75,-0.28852734697491067,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,76,-0.3600100122296017,-0.0844092838484933
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,77,-0.06810547591441879,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,78,-0.18503380979217443,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,79,-0.2972297014332008,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,80,-0.22936423744642545,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,81,-0.3260723908141964,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,82,-0.17253127056005715,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,83,-0.0889075144664083,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,84,-0.11404855485958554,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,85,-0.1883583790031304,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,86,-0.15155924672482765,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,87,-0.19607670541214256,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,88,-0.1594489674101736,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,89,-0.27118703139512795,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,90,-0.21170798965470095,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,91,-0.20076288484599156,-0.06810547591441879
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,92,-0.26491403684322784,-0.06810547591441879
