track,dataset,dr_method,cluster_method,objective,sampler,baseline,best,gain,gain_pct,best_params,tunable,dbcv_embedded,silhouette,ari,nmi,trustworthiness,continuity,stress,n_clusters,noise_frac
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,TPE,-0.39596094234133017,-0.06810547591441879,0.3278554664269114,82.7999510477703,"{""umap_n_neighbors"": 6, ""umap_min_dist"": 0.4708100195024147, ""n_components"": 11, ""hclust_min_cluster_size"": 32, ""hclust_min_samples"": 14}",True,0.2015718823824308,0.2816901612070244,0.5470125493846469,0.5397441194987854,,,,2.0,0.198
A,Wine quality (Low),UMAP,HDBSCAN,dbcv,Random,-0.39596094234133017,0.014189408720002485,0.41015035106133263,103.58353746611976,"{""umap_n_neighbors"": 9, ""umap_min_dist"": 0.45127645333978333, ""n_components"": 7, ""hclust_min_cluster_size"": 42, ""hclust_min_samples"": 9}",True,0.40888599859199903,0.2963934278887452,0.5971616354516224,0.6258719135809381,,,,2.0,0.17
A,Wine quality (Low),UMAP,DBSCAN,dbcv,TPE,-0.41389382560470006,0.06353273292005222,0.4774265585247523,115.35000741488007,"{""umap_n_neighbors"": 19, ""umap_min_dist"": 0.14712865887904736, ""n_components"": 4, ""dbscan_eps"": 0.19371617617346878, ""hclust_min_samples"": 2}",True,0.27131359634868113,0.25361049237746786,0.05784047665824747,0.19387472055335378,,,,96.0,0.39
A,Wine quality (Low),UMAP,DBSCAN,dbcv,Random,-0.41389382560470006,-0.1272488644508144,0.28664496115388566,69.25567462503132,"{""umap_n_neighbors"": 47, ""umap_min_dist"": 0.04424625102595975, ""n_components"": 3, ""dbscan_eps"": 0.32161371566163655, ""hclust_min_samples"": 9}",True,0.250295837079884,0.17623950434288915,0.17302929595584582,0.34265014865682797,,,,14.0,0.346
A,Wine quality (Low),UMAP,KMeans,dbcv,TPE,-0.5432095584424345,-0.29665257462326877,0.2465569838191657,45.388925873493086,"{""umap_n_neighbors"": 11, ""umap_min_dist"": 0.14218009342611174, ""n_components"": 2, ""cluster_n_clusters"": 15}",True,-0.10572421588415336,0.10237785829766931,0.08041764995314217,0.31824700892205204,,,,15.0,0.0
A,Wine quality (Low),UMAP,KMeans,dbcv,Random,-0.5432095584424345,-0.32618809448648,0.21702146395595445,39.95170198739293,"{""umap_n_neighbors"": 5, ""umap_min_dist"": 0.05803632025345812, ""n_components"": 2, ""cluster_n_clusters"": 2}",True,0.52298740112945,0.28522293738860205,0.9235423133537518,0.8465932841160293,,,,2.0,0.0
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,TPE,-0.24737968294008025,-0.0250170019233334,0.22236268101674686,89.88720430634841,"{""tsne_perplexity"": 33.56438888956912, ""tsne_learning_rate"": 234.57118731918973, ""hclust_min_cluster_size"": 2, ""hclust_min_samples"": 19}",True,0.3217062671128431,0.025317276448804958,0.7238512840664985,0.6758575878660283,,,,4.0,0.09
A,Wine quality (Low),t-SNE,HDBSCAN,dbcv,Random,-0.24737968294008025,0.014039679355590577,0.2614193622956708,105.6753566779335,"{""tsne_perplexity"": 17.8943563457728, ""tsne_learning_rate"": 594.9249279633207, ""hclust_min_cluster_size"": 3, ""hclust_min_samples"": 1}",True,0.3550098974895498,0.15733990587011148,0.00869742545922528,0.1987734652130536,,,,85.0,0.118
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,-1.0,0.013735355329194277,1.0137353553291943,101.37353553291943,"{""tsne_perplexity"": 27.855491471699978, ""tsne_learning_rate"": 781.5702771411014, ""dbscan_eps"": 1.7485339639112714, ""hclust_min_samples"": 5}",True,0.20598972322939693,0.2053781585164236,0.08812985550732985,0.23547985558533788,,,,30.0,0.43
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,-1.0,-0.03541361718723302,0.964586382812767,96.4586382812767,"{""tsne_perplexity"": 8.354778965589688, ""tsne_learning_rate"": 987.0180672345122, ""dbscan_eps"": 3.8839993695536217, ""hclust_min_samples"": 6}",True,0.34655323306935987,0.18138962805409425,0.012996917720037228,0.19767818236301812,,,,33.0,0.38
