dataset,method,region_def,metric,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,primary
Breast cancer (Low),MDS,gt_class,trustworthiness,10,0.02067044665108292,1.0,0.001953125,1.0,True
Breast cancer (Low),MDS,gt_class,continuity,10,0.010936769062841245,1.0,0.001953125,1.0,True
Breast cancer (Low),MDS,gt_class,mrre_false,10,0.018801175430840866,0.0,0.001953125,-1.0,False
Breast cancer (Low),MDS,gt_class,mrre_missing,10,0.010642639462268344,0.0,0.001953125,-1.0,False
Breast cancer (Low),MDS,gt_class,stress,10,-0.04028203573761363,1.0,0.001953125,1.0,False
Breast cancer (Low),MDS,hier_leaf,trustworthiness,36,0.08247240934988948,1.0,2.9103830456733704e-11,1.0,True
Breast cancer (Low),MDS,hier_leaf,continuity,36,0.06998234076239174,0.9722222222222222,5.820766091346741e-11,0.9444444444444444,True
Breast cancer (Low),MDS,hier_leaf,mrre_false,36,0.10467572748639398,0.0,2.9103830456733704e-11,-1.0,False
Breast cancer (Low),MDS,hier_leaf,mrre_missing,36,0.05888180445758362,0.0,2.9103830456733704e-11,-1.0,False
Breast cancer (Low),MDS,hier_leaf,stress,36,-0.16688868995000558,1.0,2.9103830456733704e-11,1.0,False
Breast cancer (Low),PCA,gt_class,trustworthiness,10,0.020993217500487937,1.0,0.001953125,1.0,True
Breast cancer (Low),PCA,gt_class,continuity,10,0.01097949826017075,1.0,0.001953125,1.0,True
Breast cancer (Low),PCA,gt_class,mrre_false,10,0.020032741829006218,0.0,0.001953125,-1.0,False
Breast cancer (Low),PCA,gt_class,mrre_missing,10,0.009776168420690012,0.0,0.001953125,-1.0,False
Breast cancer (Low),PCA,gt_class,stress,10,-0.05127516799002391,1.0,0.001953125,1.0,False
Breast cancer (Low),PCA,hier_leaf,trustworthiness,44,0.10431521093285806,1.0,1.1368683772161603e-13,1.0,True
Breast cancer (Low),PCA,hier_leaf,continuity,44,0.09275362318840585,1.0,1.1368683772161603e-13,1.0,True
Breast cancer (Low),PCA,hier_leaf,mrre_false,44,0.09433865984053225,0.022727272727272728,2.2737367544323206e-13,-0.9545454545454546,False
Breast cancer (Low),PCA,hier_leaf,mrre_missing,44,0.07278396782886215,0.0,1.1368683772161603e-13,-1.0,False
Breast cancer (Low),PCA,hier_leaf,stress,44,-0.1844570021111666,1.0,1.1368683772161603e-13,1.0,False
Breast cancer (Low),UMAP,gt_class,trustworthiness,10,0.010144299984880367,1.0,0.001953125,1.0,True
Breast cancer (Low),UMAP,gt_class,continuity,10,0.009841836902371337,1.0,0.001953125,1.0,True
