dataset,method,seed,layers,region,region_def,cond,n,k,trustworthiness,continuity,mrre_false,mrre_missing,stress
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,hier,40,19,0.9836124401913875,0.9875598086124402,0.9473023232719935,0.9448472435555768,7.095038413374684
Concentric rings (Low),UMAP,0,2,leaf0,hier_leaf,flat,40,19,0.9915071770334929,0.9918660287081339,0.9469209156257129,0.9529550178032832,0.746949567302498
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,hier,64,20,0.9919776119402985,0.9938666044776119,0.9660334389627145,0.967648416414927,5.949558502674551
Concentric rings (Low),UMAP,0,2,leaf1,hier_leaf,flat,64,20,0.9971315298507463,0.9976445895522388,0.9688060887528218,0.971394608491964,1.0905599814334974
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,hier,49,20,0.9848317705460563,0.9895752895752896,0.9514327403947098,0.9568875105540362,7.145152310815365
Concentric rings (Low),UMAP,0,2,leaf2,hier_leaf,flat,49,20,0.9847214561500276,0.9904578047435191,0.9482882145009319,0.9530339726456635,1.4881105627329085
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,hier,22,10,0.9734265734265736,0.9734265734265736,0.8992900190633155,0.9036815123919169,15.159420180476673
Concentric rings (Low),UMAP,0,2,leaf3,hier_leaf,flat,22,10,0.9657342657342659,0.9762237762237763,0.867567839280179,0.8801467334555476,2.285302096994191
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,hier,34,16,0.9667182662538698,0.950077399380805,0.9223241243572582,0.9101234760379175,23.45489030351259
Concentric rings (Low),UMAP,0,2,leaf4,hier_leaf,flat,34,16,0.9941950464396285,0.9920665634674923,0.8962456687965702,0.9097671062754584,2.328771070449256
Concentric rings (Low),UMAP,0,2,leaf5,hier_leaf,hier,24,11,0.9659090909090909,0.9702380952380952,0.9182519519286639,0.9238125181930877,9.160598656932159
Concentric rings (Low),UMAP,0,2,leaf5,hier_leaf,flat,24,11,0.9561688311688311,0.9615800865800866,0.8899336451024489,0.9079222397924837,1.3065288654070035
Concentric rings (Low),UMAP,0,2,leaf6,hier_leaf,hier,29,14,0.9707717569786536,0.9776683087027915,0.9273934318708323,0.932194136509314,5.133214708798366
Concentric rings (Low),UMAP,0,2,leaf6,hier_leaf,flat,29,14,0.9881773399014778,0.9894909688013137,0.9484658151175119,0.9525568991294785,1.4994143120621466
Concentric rings (Low),UMAP,0,2,leaf7,hier_leaf,hier,31,15,0.9666666666666667,0.9715053763440861,0.9252550922186868,0.9305442203587452,9.466865585153569
Concentric rings (Low),UMAP,0,2,leaf7,hier_leaf,flat,31,15,0.9690860215053763,0.9741935483870967,0.9240448218889775,0.9376960575705566,1.797856034660862
Concentric rings (Low),UMAP,0,2,leaf8,hier_leaf,hier,32,15,0.9657407407407408,0.9699074074074074,0.9216506605808382,0.9283252711046086,13.395426635989264
Concentric rings (Low),UMAP,0,2,leaf8,hier_leaf,flat,32,15,0.9685185185185186,0.974537037037037,0.8880164170312582,0.9084153094987253,2.4515485764386042
Concentric rings (Low),UMAP,0,2,leaf9,hier_leaf,hier,18,8,0.9595959595959597,0.9608585858585857,0.9014244728745181,0.9030556761792357,8.862914718570021
