dataset,method,seed,layers,region,region_def,cond,n,k,trustworthiness,continuity,mrre_false,mrre_missing,stress
Concentric rings (Low),t-SNE,0,2,leaf0,hier_leaf,hier,21,10,0.45281385281385284,0.45714285714285713,0.4663117626897521,0.46684841356306417,159.25104644928754
Concentric rings (Low),t-SNE,0,2,leaf0,hier_leaf,flat,21,10,0.9939393939393939,0.993939393939394,0.9817113464663964,0.9806010489781096,2.085343694643244
Concentric rings (Low),t-SNE,0,2,leaf1,hier_leaf,hier,42,20,0.9755693581780537,0.9713250517598345,0.878961098376316,0.8380921285588859,46.993196555793666
Concentric rings (Low),t-SNE,0,2,leaf1,hier_leaf,flat,42,20,0.9896480331262939,0.9885093167701863,0.9805893398845953,0.9791266405216968,3.468019837611283
Concentric rings (Low),t-SNE,0,2,leaf2,hier_leaf,hier,50,20,0.9898974358974358,0.9900000000000001,0.9190069321823786,0.8915230739278899,120.05179528111928
Concentric rings (Low),t-SNE,0,2,leaf2,hier_leaf,flat,50,20,0.9976923076923078,0.9976410256410257,0.9803832710553919,0.9794991372477467,6.828877503352427
Concentric rings (Low),t-SNE,0,2,leaf3,hier_leaf,hier,39,19,0.9608636977058029,0.9646423751686911,0.8602876464612385,0.8133464706314086,250.2866057248357
Concentric rings (Low),t-SNE,0,2,leaf3,hier_leaf,flat,39,19,0.9974358974358976,0.9967611336032388,0.9733888054317253,0.9729818284790497,7.048924409717686
Concentric rings (Low),t-SNE,0,2,leaf4,hier_leaf,hier,28,13,0.4989697802197801,0.4787087912087912,0.4986697390526569,0.5264486081468062,134.36881236997633
Concentric rings (Low),t-SNE,0,2,leaf4,hier_leaf,flat,28,13,0.9948489010989011,0.993131868131868,0.963540741456778,0.9633390785628005,4.201811183609778
Concentric rings (Low),t-SNE,0,2,leaf5,hier_leaf,hier,23,11,0.5494071146245059,0.590250329380764,0.5218464880782365,0.5437914779595845,55.77439442024034
Concentric rings (Low),t-SNE,0,2,leaf5,hier_leaf,flat,23,11,0.9986824769433464,0.9986824769433464,0.9818716287214105,0.9819160632887447,3.84509956283627
Concentric rings (Low),t-SNE,0,2,leaf6,hier_leaf,hier,53,20,0.9877568134171908,0.9901048218029348,0.9198664489597514,0.9001988551147139,109.5727584420071
Concentric rings (Low),t-SNE,0,2,leaf6,hier_leaf,flat,53,20,0.99874213836478,0.9987002096436058,0.9877434059216572,0.98802810391581,4.78116071256831
