dataset,method,seed,layers,ari_h,nmi_h,ari_f,nmi_f,merges,noise_h,noise_f
Concentric rings (Low),t-SNE,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Concentric rings (Low),MDS,0,2,0.5172780341268226,0.7260770581635264,0.938978908288808,0.9322840902312352,2,0.14666666666666667,0.08333333333333333
Breast cancer (Low),t-SNE,0,2,0.3503358535468543,0.5231110117449422,0.5737762774469043,0.6253031692766464,2,0.18666666666666668,0.06666666666666667
Breast cancer (Low),MDS,0,2,0.37997977192120597,0.5253183143079797,0.5681149832525744,0.6034813617844254,1,0.11333333333333333,0.04666666666666667
